smashed wrecked trashed 
smashing wrecking trashing 

nurses nursing Nursing 
pharmacists pharmacy Pharmacy 

entrance doorway hallway 
entrances doorways hallways 

perfect perfected perfecting 
optimal optimized optimizing 

communication communications telecommunications 
Communication Communications Telecommunications 

readers reader Reader 
viewers viewer Viewer 

stripped ripped shredded 
stripping ripping shredding 

history histories genealogy 
History Histories Genealogy 

director manager supervisor 
directors managers supervisors 

caused inflicted injures 
causing inflicting injuring 

murder murders murderer 
assassination assassinations assassin 

concept metaphor idiom 
concepts metaphors idioms 

physical sexual racial 
physically sexually racially 

Europe Britain Spain 
Europeans Britons Spaniards 

sales Sales salespeople 
marketing Marketing marketers 

modified adapted imitated 
modify adapt imitate 

buy donate subsidize 
buying donating subsidizing 

doesn wouldn shouldn 
DOES WOULD SHOULD 

C R L 
C. R. L. 

stubborn defiant steadfast 
stubbornly defiantly steadfastly 

walking walkers walker 
riding riders rider 

provided obtained gained 
providing obtaining gaining 

parents kids adults 
Parents Kids Adults 

WHO CDC MSF 
FAO USDA WFP 

belt jacket vest 
belts jackets vests 

multiply multiplication multiplying 
subtract subtraction subtracting 

images photos photographers 
Images Photos Photographers 

recognized recognizes recognizing 
demonstrated demonstrates demonstrating 

storm lightning thunder 
Storm Lightning Thunder 

response responses Responses 
reaction reactions Reactions 

psychology Psychology psychologists 
linguistics Linguistics linguists 

revision correction adjustment 
revisions corrections adjustments 

wrote concluded asserted 
writes concludes asserts 

ecology ecological ecologist 
geology geological geologist 

oak pine elm 
Oak Pine Elm 

method strategy concept 
Methods Strategies Concepts 

fueled spurred propelled 
fueling spurring propelling 

assumptions misconceptions fallacies 
assumption misconception fallacy 

integrate reorganize reshape 
integrating reorganizing reshaping 

introduced introduce introducing 
replaced replace replacing 

allegations incidents scandals 
allegation incident scandal 

B H W 
B. H. W. 

shops retailers merchants 
Shops Retailers Merchants 

quiet calm gentle 
quieter calmer gentler 

structure framework paradigm 
structures frameworks paradigms 

correction correcting rectify 
clarification clarifying clarify 

discuss explain identify 
Discuss Explain Identify 

apply interpret formulate 
applying interpreting formulating 

message messages Messages 
warning warnings Warnings 

Found Replaced Performed 
Find Replace Perform 

discovered investigated pursued 
discovers investigates pursues 

reliable robust durable 
reliability robustness durability 

River river rivers 
Dam dam dams 

investigating investigated investigates 
detecting detected detects 

suicide suicides Suicide 
homicide homicides Homicide 

burger hamburger taco 
burgers hamburgers tacos 

secular atheist humanist 
Secular Atheist Humanist 

drop dropping drops 
throw throwing throws 

housing residential apartments 
Housing Residential Apartments 

approve approving approves 
condemn condemning condemns 

need want seek 
needed wanted sought 

endorse advertise tout 
endorses advertises touts 

authors writers journalists 
Authors Writers Journalists 

Mexico Mexican Mexicans 
Colombia Colombian Colombians 

is was had 
isn wasn hadn 

verified validated affirmed 
verifies validates affirms 

flowing pumping sucking 
flowed pumped sucked 

document PDF webpage 
documents PDFs webpages 

wasn aren shouldn 
wasnt arent shouldnt 

confirm announce declare 
confirms announces declares 

missed miss misses 
skipped skip skips 

feminist sexist patriarchal 
feminism sexism patriarchy 

linked linking Linking 
connected connecting Connecting 

vandal stalker abuser 
vandals stalkers abusers 

pretend pretending pretends 
presume presuming presumes 

votes voters voter 
Votes Voters Voter 

town county borough 
Town County Borough 

refund cheque paycheck 
refunds cheques paychecks 

slowing impeding curtailing 
slowed impeded curtailed 

discreet judicious scrupulous 
discreetly judiciously scrupulously 

module modules modular 
Module Modules Modular 

institution organisation association 
Institutions Organisations Associations 

drink beer bottle 
Drink Beer Bottle 

customers customer Customer 
vendors vendor Vendor 

updated update updates 
adjusted adjust adjustments 

introduced implemented enacted 
introducing implementing enacting 

came brought turned 
comes brings turns 

way thing kind 
ways things kinds 

Chicago Illinois IL 
Boston Massachusetts MA 

triggered provoked elicited 
triggering provoking eliciting 

Venice Venetian Veneto 
Naples Neapolitan Calabria 

proposed propose proposes 
posited posit posits 

attend attending attends 
arrive arriving arrives 

changes adjustments tweaks 
changing adjusting tweaking 

coach coaches coaching 
mentor mentors mentoring 

leaders rulers chieftains 
leader ruler chieftain 

Nazi totalitarian militaristic 
Nazism totalitarianism militarism 

design redesign reinvent 
designing redesigning reinventing 

generate sustain cultivate 
generating sustaining cultivating 

expect anticipate envision 
expects anticipates envisions 

denied deny denies 
dismissed dismiss dismisses 

elephant elephants Elephants 
monkey monkeys Monkeys 

