can will does 
could would did 

make making makes 
produce producing produces 

said thought believed 
say think believe 

said say says 
told tell tells 

get go bring 
gets goes brings 

book novel poem 
books novels poems 

went go going 
came come coming 

went moved traveled 
go move travel 

took take takes 
gave give gives 

took gave offered 
takes gives offers 

german germany hamburg 
swiss switzerland zurich 

german austrian swiss 
germany austria switzerland 

help helped helping 
try tried trying 

son sons daughters 
brother brothers sisters 

take give provide 
takes gives provides 

japanese japan tokyo 
korean korea seoul 

comes goes brings 
come go bring 

keep stay remain 
kept stayed remained 

sweden norway denmark 
stockholm oslo copenhagen 

spent spend spends 
stayed stay stays 

organization organisation non-profit 
organizations organisations charities 

allow require involve 
allows requires involves 

ontario quebec alberta 
toronto montreal calgary 

gained achieved attained 
gain achieve attain 

gained gain gaining 
achieved achieve achieving 

finland norway denmark 
helsinki oslo copenhagen 

send sending sends 
receive receiving receives 

screenwriter animator storyboard 
novelist cartoonist caricaturist 

volcano eruption crater 
volcanoes eruptions craters 

parade carnival procession 
parades carnivals processions 

wang fei guo 
wei guan gao 

imperialism oppression assimilation 
one-party oppressive regimes 

purchases suppliers subsidiaries 
ebay pepsico grupo 

