he his father's 
she her grandmother's 

be have shave 
being having shaving 

can will does 
could would did 

can need want 
could needed wanted 

called walled stalled 
caller waller taller 

most hardest easiest 
more harder easier 

city town village 
cities towns villages 

american british-american polish-american 
american-born british-born polish-born 

american america america's 
african africa africa's 

american canadian belgian 
americans canadians belgians 

american african asian 
america's africa's asia's 

american african asian 
americans africans asians 

american african asian 
america africa asia 

became becoming becomes 
came coming comes 

became become becoming 
emerged emerge emerging 

became came overcame 
becoming coming overcoming 

became came got 
becomes comes gets 

became emerged thrived 
becoming emerging thriving 

became began continued 
becomes begins continues 

years months weeks 
year month week 

part portion proportion 
parts portions proportions 

name surname pseudonym 
names surnames pseudonyms 

name nickname surname 
names nicknames surnames 

name named names 
nickname nicknamed nicknames 

them themselves ourselves 
him himself myself 

movie film animation 
movies films animations 

movie movies movie's 
film films film's 

three five seven 
thirty-three thirty-five thirty-seven 

three five eight 
twenty-three twenty-five twenty-eight 

three seven eight 
twenty-three twenty-seven twenty-eight 

three eight nine 
twenty-three twenty-eight twenty-nine 

three twenty-three thirty-three 
four twenty-four thirty-four 

three twenty-three thirty-three 
five twenty-five thirty-five 

three twenty-three thirty-three 
seven twenty-seven thirty-seven 

south south-central south-southwest 
north north-central north-northwest 

south southwest southward 
north northwest northward 

south southernmost southerly 
north northernmost northerly 

national nationals nationally 
international internationals internationally 

national nationalist unionist 
nationals nationalists unionists 

national nations nation's 
organizational organizations organization's 

national nation nationals 
international hibernation internationals 

national multinational organizational 
nation's corporation's organization's 

north northernmost northerly 
east easternmost easterly 

make making makes 
produce producing produces 

make give provide 
makes gives provides 

released release releasing 
leased lease leasing 

area areas area's 
region regions region's 

area region ecoregion 
areas regions ecoregions 

university universities university's 
college colleges college's 

university universities university's 
institute institutes institute's 

second fourth seventh 
twenty-second fourteenth seventeenth 

album albums album's 
song songs song's 

album ep remix 
albums eps remixes 

album song rihanna 
album's song's rihanna's 

album song soundtrack 
albums songs soundtracks 

album soundtrack remix 
albums soundtracks remixes 

through passes passing 
across crosses crossing 

started began continued 
starts begins continues 

started start starts 
began begin begins 

started start starts 
stopped stop stops 

usually normally formally 
usual normal formal 

usually occasionally exceptionally 
usual occasional exceptional 

river rivers river's 
upstream streams stream's 

river tributary estuary 
rivers tributaries estuaries 

river estuary lagoon 
rivers estuaries lagoons 

said told asked 
saying telling asking 

said told knew 
say tell know 

said told talked 
says tells talks 

said say says 
told tell tells 

said say says 
thought think thinks 

said say says 
believed believe believes 

said thought believed 
say think believe 

said believed claimed 
saying believing claiming 

said believed relieved 
say believe relieve 

said says saying 
told tells telling 

said says saying 
believed believes believing 

small large big 
smaller larger bigger 

small large big 
smallest largest biggest 

small smaller smallest 
large larger largest 

small smaller smallest 
big bigger biggest 

president presidents presided 
resident residents resided 

president presidency presided 
resident residency resided 

president presidential presidency 
resident residential residency 

british british-american british-born 
canadian canadian-american canadian-born 

british britain britain's 
scottish scotland scotland's 

british britain britain's 
irish ireland ireland's 

british scottish norwegian 
britain scotland norway 

british scottish norwegian 
britain's scotland's norway's 

british irish anglo-irish 
british-american irish-american anglo-american 

british irish scottish 
britain ireland scotland 

british irish scottish 
britain's ireland's scotland's 

school schools school's 
teacher teachers teacher's 

school schools school's 
college colleges college's 

school college scholarship 
schools colleges scholarships 

important importance importantly 
significant significance significantly 

important importance importantly 
prominent prominence prominently 

important significant substantial 
importantly significantly substantially 

important significant relevant 
importance significance relevance 

important prominent predominant 
importantly prominently predominantly 

song soundtrack remix 
songs soundtracks remixes 

song ballad duet 
songs ballads duets 

large largest larger 
big biggest bigger 

large big at-large 
largest biggest fourth-largest 

including include included 
excluding exclude excluded 

including include included 
concluding conclude concluded 

including excluding concluding 
include exclude conclude 

including excluding concluding 
included excluded concluded 

including excluding concluding 
includes excludes concludes 

including included includes 
excluding excluded excludes 

including included includes 
concluding concluded concludes 

including includes inclusive 
excluding excludes exclusive 

including includes inclusion 
concluding concludes conclusion 

water waterways waterhole 
saltwater estuaries swampy 

town towns townspeople 
village villages villagers 

place location destination 
places locations destinations 

west east southeast 
westernmost easternmost southernmost 

west east southeast 
westerly easterly southerly 

west southwest north-west 
east southeast north-east 

west westernmost west-central 
east easternmost east-central 

west westernmost westerly 
north-west northernmost northerly 

west westernmost westerly 
southeast southernmost southerly 

get got gotten 
go went gone 

get got gets 
give gave gives 

get got gets 
receive received receives 

get go come 
gets goes comes 

get go travel 
got went traveled 

get give provide 
