efficient efficiency 
flexible flexibility 
varied differences 
most-watched ratings 
important importance 
criticized criticism 
skilled skill 
acclaimed acclaim 
focused emphasis 
thought idea 
accurate accuracy 
expensive prices 
interested interest 
concerned concern 
toxic toxicity 
popular popularity 
rated rating 
controversial controversy 
confusing ambiguity 
sensitive sensitivity 
watched viewers 
small size 
similar similarity 
advanced capabilities 
reliable reliability 
beneficial benefits 
talented talent 
successful success 
susceptible risk 
released release 
acidic ph 
influenced influence 
difficult ability 
fast speed 
diverse diversity 

