joyful joy 
slumped slump 
swollen swelling 
priced price 
fearful fear 
shocked shock 
analysed analyse 
detailed detail 
done doing 
vigorous vigor 
toxic toxicity 
acclaimed acclaim 
paused pause 
legitimate legitimacy 
leaked leak 
confronted confront 
negligent negligence 
anti-semitic anti-semitism 
won win 
secretive secrecy 
suicidal suicide 
spiked spike 
murdered murder 
salvaged salvage 
stayed stay 
defended defend 
subsidized subsidy 
subjective subjectivity 
persistent persistence 
used use 
unstable instability 
formed forming 
impartial impartiality 
balanced balance 
poisoned poisoning 
conceded concede 
interrupted interruption 
anxious anxiety 
familiar familiarity 
superior superiority 
stereotypical stereotypes 
bothered trouble 
declined decline 
found finding 
emigrated emigration 
tasted tasting 
invaded invasion 
confident confidence 
hospitalized hospitalization 
honest honesty 
tapped tap 
executed execution 
talented talent 
consumed consumption 
sliced slice 
ironic irony 
cleared clearing 
moved move 
confrontational confrontation 
imprisoned imprisonment 
controversial controversy 
fluent fluency 
kissed kiss 
operated operate 
untrue falsehood 
worded wording 
demonstrated demonstrating 
achieved achieving 
privatised privatisation 
drank drink 
examined examining 
nuanced subtlety 
updated update 
emitted emission 
stable stability 
attacked attack 
transparent transparency 
fell fall 
expressed expressing 
thanked thanking 
softened softening 
generated generating 
insulting insult 
covered covering 
lured lure 
gained gaining 
fought battles 
weighted weighting 
illogical logic 
elaborated elaboration 
pitched pitch 
brought bring 
registered registration 
unlikely likelihood 
proceeded proceed 
migrated migration 
miserable misery 
revealed revealing 
inefficient inefficiency 
knowledgeable expertise 
saturated saturation 
rescued rescue 
increased increase 
elected election 
answered answer 
halted halt 
hijacked hijacking 
trusted trust 
ridiculed ridicule 
prohibited prohibition 
deteriorating deterioration 
dedicated dedication 
proud pride 
profitable profitability 
effective effectiveness 
installed installation 
radioactive radioactivity 
enjoyable enjoyment 
walked walk 
notable notability 
shook shake 
revived revival 
expanded expand 
judged judging 
selective selectivity 
boasted boast 
civilized civilization 
looted looting 
clarified clarification 
hazardous hazards 
structured structuring 
inaccurate inaccuracy 
intensified intensify 
paradoxical paradox 
corrupt corruption 
redirected redirection 
analyzed analyzing 
nationalistic nationalism 
irritated irritation 
removed remove 
autonomous autonomy 
scattered scattering 
weak weakness 
generous generosity 
industrialized industrialization 
fulfilled fulfillment 
fragmented fragmentation 
modified modification 
squeezed squeeze 
rallied rally 
rude rudeness 
dark darkness 
hostile hostility 
urgent urgency 
invented invention 
cooperating cooperation 
escaped escape 
reported reporting 
served serve 
entrepreneurial entrepreneurship 
reworded rewording 
uncertain uncertainty 
resided reside 
appreciated appreciate 
absent absence 
synthesized synthesis 
liberal liberalism 
multiplied multiply 
amended amendment 
restored restoration 
vandalised vandalising 
wicked evil 
exclusive exclusivity 
mutated mutation 
simple simplicity 
upheld uphold 
mentioned mention 
reconciled reconciliation 
dissolved dissolution 
collapsed collapse 
recaptured recapture 
patriotic patriotism 
displayed display 
documented documentation 
continued continuing 
finished finish 
possessed possess 
imperialist imperialism 
quoted quote 
overcame overcoming 
retained retaining 
sick sickness 
purified purification 
threw throw 
inconvenient inconvenience 
advised advise 
substantiated substantiate 
displaced displacement 
awarded award 
independent independence 
peaceful peace 
cruel cruelty 
computed computation 
damaged damage 
uncivil incivility 
neutral neutrality 
evicted eviction 
allocated allocation 
translated translation 
killed kill 
alienated alienation 
burned burning 
messy mess 
smashed smash 
assessed assessment 
unjust injustice 
diversified diversification 
attended attending 
evolved evolve 
picked pick 
ready readiness 
described describe 
withdrawn withdrawal 
relevant relevance 
toppled overthrow 
successful success 
emerged emerge 
mysterious mystery 
recognized recognize 
retreated retreat 
addicted addiction 
preserved preservation 
carved carving 
confused confusion 
menacing menace 
populist populism 
faced facing 
dense density 
exiled exile 
disappeared disappearance 
flexible flexibility 
inferred inference 
improved improvement 
denied deny 
revisited revisit 
enrolled enrollment 
bypassed bypass 
prevented preventing 
plunged plunge 
predictable predictability 
deported deportation 
enhanced enhancement 
exploited exploitation 
differentiated differentiation 
applied applying 
romantic romance 
boosted boost 
merged merger 
checked checking 
sincere sincerity 
idealistic idealism 
responded response 
faulty malfunction 
donated donation 
acquitted acquittal 
evaluated evaluating 
propagated propagation 
rented rent 
conscious consciousness 
fractured fracture 
rational rationality 
brave bravery 
influenced influence 
guaranteed guarantee 
argued argue 
devised devise 
repeated repeat 
rebounded rebound 
humorous humor 
promised promise 
staged staging 
positioned positioning 
entered enter 
reclaimed reclamation 
refused refusal 
invoked invoking 
dogmatic dogma 
proficient proficiency 
decommissioned decommissioning 
mandated mandate 
rated rating 
stabbed stabbing 
slapped slap 
deprived deprivation 
indicated indicate 
negative negativity 
processed processing 
voted vote 
unemployed unemployment 
hindered hinder 
collected collection 
esteemed esteem 
learned learning 
considered consider 
chilled chill 
asked ask 
weighed weight 
anti-Semitic anti-Semitism 
flooded flooding 
raided raid 
dealt dealing 
lighted lighting 
scanned scanning 
hired hire 
volatile volatility 
scalable scalability 
retired retirement 
permitted permit 
impoverished poverty 
sunk sinking 
alcoholic alcoholism 
embodied embody 
assisted assisting 
customized customization 
harmed harm 
farmed farming 
visited visit 
starred starring 
efficient efficiency 
activated activation 
retrieved retrieval 
lazy laziness 
verified verification 
organised organising 
nostalgic nostalgia 
sanctioned sanction 
hung hanging 
communist communism 
underlined underline 
instructed instruct 
touted tout 
pushed push 
able ability 
blind blindness 
included include 
alerted alerting 
raped rape 
paired pairing 
grateful gratitude 
piled pile 
tackled tackling 
evacuated evacuation 
