fluent fluency 
disrupted disruption 
indifferent indifference 
outraged outrage 
insightful insight 
prejudiced prejudice 
defiant defiance 
corrupt corruption 
repressive repression 
versatile versatility 
competitive competitiveness 
patriotic patriotism 
deficient deficiency 
readable readability 
impaired impairment 
innovative innovation 
brutal brutality 
affectionate affection 
ambiguous ambiguity 
able ability 
ready readiness 
abandoned abandonment 
impartial impartiality 
cynical cynicism 
dispersed dispersion 
honest honesty 
inefficient inefficiency 
reliable reliability 
gloomy gloom 
courageous courage 
devout devotion 
accessible accessibility 
credible credibility 
fundamentalist fundamentalism 
safe safety 
fraudulent fraud 
coherent coherence 
heroic heroism 
dependent dependence 
insecure insecurity 
violent violence 
prosperous prosperity 
negligent negligence 
eroded erosion 
turbulent turbulence 
proud pride 
distorted distortion 
diversified diversification 
greedy greed 
hesitant hesitation 
compassionate compassion 
popular popularity 
difficult difficulty 
accurate accuracy 
optimistic optimism 
ironic irony 
suitable suitability 
creative creativity 
hostile hostility 
arrogant arrogance 
foolish folly 
redundant redundancy 
sympathetic sympathy 
anti-Semitic anti-Semitism 
paranoid paranoia 
repetitive repetition 
anxious anxiety 
unjust injustice 
menacing menace 
distressed distress 
qualified qualification 
capable capability 
unable inability 
absurd absurdity 
mediocre mediocrity 
desperate desperation 
irritated irritation 
fascinated fascination 
mistaken misunderstanding 
prestigious prestige 
intimate intimacy 
uncertain uncertainty 
hopeless despair 
successful success 
misinformed misinformation 
agile agility 
insane insanity 
consolidated consolidation 
zealous zeal 
pessimistic pessimism 
expensive cost 
silly silliness 
intense intensity 
autonomous autonomy 
biased bias 
affordable affordability 
comfortable comfort 
sane sanity 
controversial controversy 
consistent consistency 
tolerant tolerance 
relevant relevance 
sustainable sustainability 
bigoted bigotry 
devastated devastation 
skeptical skepticism 
traumatic trauma 
rebellious rebellion 
surprised surprise 
embarrassing embarrassment 
democratic democracy 
negative negativity 
flexible flexibility 
inaccurate inaccuracy 
suspicious suspicion 
exciting excitement 
antisemitic antisemitism 
applicable applicability 
open openness 
enthusiastic enthusiasm 
inconsistent inconsistency 
witty wit 
concerned concern 
fearful fear 
glamorous glamour 
imperialist imperialism 
isolated isolation 
feminist feminism 
crazy madness 
anti-semitic anti-semitism 
bitter bitterness 
convenient convenience 
distracted distraction 
hypocritical hypocrisy 
stupid stupidity 
coercive coercion 
reluctant reluctance 
knowledgeable expertise 
ignorant ignorance 
slanted slant 
predictable predictability 
harmed harm 
responsive responsiveness 
warm warmth 
sceptical scepticism 
furious fury 
lonely loneliness 
lazy laziness 
valid validity 
