Oklahoma Tulsa 
Sweden Stockholm 
Texas Houston 
Serbia Belgrade 
Mexico Monterrey 
Finland Helsinki 
Florida Miami 
India Delhi 
Taiwan Taipei 
Vietnam Hanoi 
Latvia Riga 
Massachusetts Boston 
Qatar Doha 
Jersey Newark 
Kansas Wichita 
Michigan Detroit 
Denmark Copenhagen 
Connecticut Hartford 
Algeria Algiers 
Thailand Bangkok 
Ohio Cincinnati 
Vermont Burlington 
Iraq Baghdad 
Italy Milan 
Minnesota Minneapolis 
Haiti Port-au-Prince 
Germany Berlin 
Azerbaijan Baku 
Colorado Denver 
Bosnia Sarajevo 
Georgia Tbilisi 
Tasmania Hobart 
Turkey Istanbul 
Senegal Dakar 
Syria Damascus 
Wisconsin Milwaukee 
Virginia Richmond 
Australia Melbourne 
Ireland Dublin 
Spain Madrid 
Arizona Tucson 
Alaska Anchorage 
Czechoslovakia Prague 
Zealand Auckland 
Lebanon Beirut 
Lithuania Vilnius 
Queensland Brisbane 
Greece Athens 
Belarus Minsk 
Armenia Yerevan 
Sudan Khartoum 
Pennsylvania Philadelphia 
Egypt Cairo 
Chile Santiago 
Hawaii Honolulu 
Tibet Lhasa 
Wales Cardiff 
Peru Lima 
Ukraine Kiev 
Tunisia Tunis 
Austria Vienna 
Nepal Kathmandu 
Croatia Zagreb 
Norway Oslo 
Libya Tripoli 
Africa Johannesburg 
Nevada Reno 
UAE Dubai 
Japan Tokyo 
Korea Seoul 
Poland Warsaw 
Illinois Chicago 
Switzerland Zurich 
Morocco Casablanca 
China Beijing 
Nigeria Lagos 
Jordan Amman 
Russia Moscow 
Bulgaria Sofia 
Israel Jerusalem 
Alabama Birmingham 
France Paris 
Somalia Mogadishu 
Cuba Havana 
Kentucky Louisville 
Hungary Budapest 
Venezuela Caracas 
Indonesia Jakarta 
Slovakia Bratislava 
Carolina Charleston 
Nebraska Omaha 
California Sacramento 
country city 
Saskatchewan Saskatoon 
Estonia Tallinn 
Scotland Edinburgh 
Pakistan Islamabad 
Maryland Baltimore 
England London 
Uruguay Montevideo 
Philippines Manila 
Bangladesh Dhaka 
Afghanistan Kabul 
Kenya Nairobi 
Louisiana Orleans 
Tennessee Knoxville 
Oregon Portland 
Romania Bucharest 
Belgium Brussels 
Manitoba Winnipeg 
Canada Ottawa 
Slovenia Ljubljana 
Alberta Calgary 
Netherlands Amsterdam 
Indiana Indianapolis 
Idaho Boise 
Portugal Lisbon 
Iran Tehran 

