Poland Warsaw 
Bulgaria Sofia 
Bosnia Sarajevo 
Czechoslovakia Prague 
Montana Billings 
Sweden Stockholm 
Wisconsin Milwaukee 
Massachusetts Boston 
Switzerland Zurich 
Cuba Havana 
Netherlands Amsterdam 
Jersey Newark 
Virginia Richmond 
Spain Madrid 
Norway Oslo 
Estonia Tallinn 
Haiti Port-au-Prince 
Zealand Auckland 
Georgia Tbilisi 
Denmark Copenhagen 
Latvia Riga 
Germany Berlin 
Nebraska Omaha 
Michigan Detroit 
Florida Miami 
Ohio Cincinnati 
Philippines Manila 
Wales Cardiff 
Lithuania Vilnius 
Serbia Belgrade 
Delaware Wilmington 
Uruguay Montevideo 
Qatar Doha 
Queensland Brisbane 
Chile Santiago 
Afghanistan Kabul 
Belarus Minsk 
Alberta Calgary 
Iran Tehran 
Kenya Nairobi 
Greece Athens 
England London 
Pakistan Islamabad 
Alaska Anchorage 
Argentina Buenos 
Louisiana Orleans 
Vietnam Hanoi 
Bangladesh Dhaka 
Belgium Brussels 
Scotland Edinburgh 
Oregon Portland 
Libya Tripoli 
Turkey Istanbul 
Manitoba Winnipeg 
Kentucky Louisville 
India Delhi 
Saudi Riyadh 
Uzbekistan Uzbek 
Azerbaijan Baku 
Tasmania Hobart 
Minnesota Minneapolis 
Maryland Baltimore 
Italy Milan 
Mexico Monterrey 
Australia Sydney 
Senegal Dakar 
Iraq Baghdad 
Carolina Charleston 
Romania Bucharest 
China Beijing 
Idaho Boise 
Japan Tokyo 
country city 
Peru Lima 
Thailand Bangkok 
Africa Johannesburg 
Hungary Budapest 
Tunisia Tunis 
Tennessee Knoxville 
Morocco Casablanca 
Nevada Reno 
California Oakland 
Lanka Colombo 
Algeria Algiers 
Ukraine Kiev 
Nepal Kathmandu 
Utah Ogden 
Russia Moscow 
Korea Seoul 
Kansas Wichita 
Armenia Yerevan 
Somalia Mogadishu 
Connecticut Hartford 
Canada Toronto 
Saskatchewan Saskatoon 
Sudan Khartoum 
Oklahoma Tulsa 
Tibet Lhasa 
Finland Helsinki 
Israel Jerusalem 
Ireland Dublin 
Slovakia Bratislava 
Pennsylvania Philadelphia 
Texas Houston 
Colorado Denver 
Syria Damascus 
Venezuela Caracas 
Indiana Indianapolis 
Egypt Cairo 
Illinois Chicago 
Alabama Birmingham 
Taiwan Taipei 
Portugal Lisbon 
Jordan Amman 
Austria Vienna 
Croatia Zagreb 
France Paris 
Nigeria Lagos 
Hawaii Honolulu 
Arizona Tucson 
Indonesia Jakarta 
Lebanon Beirut 
Slovenia Ljubljana 
UAE Dubai 

