Nepal Kathmandu 
Lebanon Beirut 
China Beijing 
Tibet Lhasa 
Kenya Nairobi 
Somalia Mogadishu 
Thailand Bangkok 
Austria Vienna 
Libya Tripoli 
Uruguay Montevideo 
Bangladesh Dhaka 
Germany Berlin 
Portugal Lisbon 
Syria Damascus 
France Paris 
Poland Warsaw 
Latvia Riga 
Spain Madrid 
Scotland Edinburgh 
Switzerland Zurich 
Indonesia Jakarta 
Hawaii Honolulu 
Slovakia Bratislava 
Pakistan Islamabad 
Korea Seoul 
Finland Helsinki 
Afghanistan Kabul 
Belarus Minsk 
Philippines Manila 
Norway Oslo 
Lithuania Vilnius 
Sudan Khartoum 
Italy Milan 
Australia Melbourne 
Georgia Tbilisi 
Turkey Istanbul 
Jordan Amman 
Bosnia Sarajevo 
Nigeria Lagos 
Senegal Dakar 
Czechoslovakia Prague 
Egypt Cairo 
Bulgaria Sofia 
Tunisia Tunis 
Azerbaijan Baku 
Serbia Belgrade 
Denmark Copenhagen 
Ireland Dublin 
Iran Tehran 
Algeria Algiers 
Belgium Brussels 
Cuba Havana 
Estonia Tallinn 
Vietnam Hanoi 
Romania Bucharest 
Japan Tokyo 
Sweden Stockholm 
Venezuela Caracas 
England London 
Greece Athens 
Haiti Port-au-Prince 
Israel Jerusalem 
Zealand Auckland 
Russia Moscow 
Ukraine Kiev 
Africa Johannesburg 
Croatia Zagreb 
India Delhi 
Hungary Budapest 
Netherlands Amsterdam 
Slovenia Ljubljana 
Taiwan Taipei 
Armenia Yerevan 
Iraq Baghdad 

