Korea Korean Seoul 
Indonesia Indonesian Jakarta 
Iran Iranian Tehran 
Turkey Turkish Istanbul 
Vietnam Vietnamese Hanoi 
Britain British London 
Sicily Sicilian Palermo 
Germany German Berlin 
Estonia Estonian Tallinn 
Haiti Haitian Port-au-Prince 
Azerbaijan Azerbaijani Baku 
Tibet Tibetan Lhasa 
Bosnia Bosnian Sarajevo 
France French Paris 
Cuba Cuban Havana 
Norway Norwegian Oslo 
Pakistan Pakistani Islamabad 
Afghanistan Afghan Kabul 
Russia Russian Moscow 
Serbia Serbian Belgrade 
Nepal Nepalese Kathmandu 
Philippines Filipino Manila 
Tunisia Tunisian Tunis 
Romania Romanian Bucharest 
Iraq Iraqi Baghdad 
Somalia Somali Mogadishu 
Croatia Croatian Zagreb 
Egypt Egyptian Cairo 
Georgia Georgian Tbilisi 
Belarus Belarusian Minsk 
Latvia Latvian Riga 
Sweden Swedish Stockholm 
Catalonia Catalan Barcelona 
Ireland Irish Dublin 
Canada Canadian Toronto 
India Indian Delhi 
Slovakia Slovak Bratislava 
Chile Chilean Santiago 
Ukraine Ukrainian Kiev 
China Chinese Beijing 
Scotland Scottish Edinburgh 
Uruguay Uruguayan Montevideo 
Syria Syrian Damascus 
Japan Japanese Tokyo 
Jordan Jordanian Amman 
Czechoslovakia Czech Prague 
Hungary Hungarian Budapest 
Poland Polish Warsaw 
Libya Libyan Tripoli 
Venezuela Venezuelan Caracas 
Africa African Johannesburg 
Australia Australian Sydney 
Wales Welsh Cardiff 
Slovenia Slovenian Ljubljana 
Lebanon Lebanese Beirut 
Kenya Kenyan Nairobi 
Lithuania Lithuanian Vilnius 
Denmark Danish Copenhagen 
Greece Greek Athens 
Thailand Thai Bangkok 
Israel Israeli Jerusalem 
Finland Finnish Helsinki 
Armenia Armenian Yerevan 
Nigeria Nigerian Lagos 
Bulgaria Bulgarian Sofia 
Switzerland Swiss Zurich 
Sudan Sudanese Khartoum 
Algeria Algerian Algiers 
Alaska Alaskan Anchorage 
Mexico Mexican Guadalajara 
Belgium Belgian Brussels 
Hawaii Hawaiian Honolulu 
Austria Austrian Vienna 
Netherlands Dutch Amsterdam 
Bangladesh Bangladeshi Dhaka 
Taiwan Taiwanese Taipei 
Spain Spanish Madrid 
Portugal Portuguese Lisbon 

