Bulgaria Bulgarian Sofia 
Afghanistan Afghan Kabul 
Britain British London 
Haiti Haitian Port-au-Prince 
Finland Finnish Helsinki 
Belgium Belgian Brussels 
Jordan Jordanian Amman 
Hungary Hungarian Budapest 
Tunisia Tunisian Tunis 
Czechoslovakia Czech Prague 
Chile Chilean Santiago 
Thailand Thai Bangkok 
Sicily Sicilian Palermo 
Algeria Algerian Algiers 
Hawaii Hawaiian Honolulu 
Nigeria Nigerian Lagos 
Denmark Danish Copenhagen 
Philippines Filipino Manila 
Somalia Somali Mogadishu 
Georgia Georgian Tbilisi 
Bosnia Bosnian Sarajevo 
Portugal Portuguese Lisbon 
Korea Korean Seoul 
Syria Syrian Damascus 
Lithuania Lithuanian Vilnius 
Tibet Tibetan Lhasa 
Slovakia Slovak Bratislava 
Switzerland Swiss Zurich 
Russia Russian Moscow 
Uruguay Uruguayan Montevideo 
Lebanon Lebanese Beirut 
Ukraine Ukrainian Kiev 
Wales Welsh Cardiff 
Nepal Nepalese Kathmandu 
Slovenia Slovenian Ljubljana 
Canada Canadian Ottawa 
Romania Romanian Bucharest 
Poland Polish Warsaw 
Scotland Scottish Edinburgh 
Vietnam Vietnamese Hanoi 
Alaska Alaskan Anchorage 
Egypt Egyptian Cairo 
France French Paris 
India Indian Delhi 
Sudan Sudanese Khartoum 
Iran Iranian Tehran 
Taiwan Taiwanese Taipei 
Iraq Iraqi Baghdad 
Belarus Belarusian Minsk 
Africa African Johannesburg 
Japan Japanese Tokyo 
Ireland Irish Dublin 
Indonesia Indonesian Jakarta 
Austria Austrian Vienna 
Azerbaijan Azerbaijani Baku 
Bangladesh Bangladeshi Dhaka 
Turkey Turkish Istanbul 
Netherlands Dutch Amsterdam 
Kenya Kenyan Nairobi 
Libya Libyan Tripoli 
Estonia Estonian Tallinn 
Spain Spanish Madrid 
Venezuela Venezuelan Caracas 
Croatia Croatian Zagreb 
Israel Israeli Jerusalem 
Greece Greek Athens 
Norway Norwegian Oslo 
Catalonia Catalan Barcelona 
Germany German Berlin 
Australia Australian Sydney 
Armenia Armenian Yerevan 
China Chinese Beijing 
Pakistan Pakistani Islamabad 
Serbia Serbian Belgrade 
Cuba Cuban Havana 
Sweden Swedish Stockholm 
Latvia Latvian Riga 
Yemen Yemeni Riyadh 

