Belgium Belgian Brussels 
Czechoslovakia Czech Prague 
Latvia Latvian Riga 
Hawaii Hawaiian Honolulu 
Pakistan Pakistani Islamabad 
Norway Norwegian Oslo 
Afghanistan Afghan Kabul 
Cuba Cuban Havana 
Switzerland Swiss Zurich 
Iran Iranian Tehran 
Australia Australian Sydney 
Ireland Irish Dublin 
Egypt Egyptian Cairo 
France French Paris 
Bulgaria Bulgarian Sofia 
Turkey Turkish Istanbul 
Nigeria Nigerian Lagos 
Korea Korean Seoul 
Nepal Nepalese Kathmandu 
Russia Russian Moscow 
Britain British London 
China Chinese Beijing 
Sweden Swedish Stockholm 
Wales Welsh Cardiff 
Poland Polish Warsaw 
Germany German Berlin 
Taiwan Taiwanese Taipei 
Netherlands Dutch Amsterdam 
Canada Canadian Toronto 
Greece Greek Athens 
Vietnam Vietnamese Hanoi 
Armenia Armenian Yerevan 
Africa African Johannesburg 
Croatia Croatian Zagreb 
Venezuela Venezuelan Caracas 
Austria Austrian Vienna 
Portugal Portuguese Lisbon 
Tunisia Tunisian Tunis 
Japan Japanese Tokyo 
Ukraine Ukrainian Kiev 
Bosnia Bosnian Sarajevo 
Scotland Scottish Edinburgh 
Georgia Georgian Tbilisi 
Serbia Serbian Belgrade 
Libya Libyan Tripoli 
Denmark Danish Copenhagen 
Tibet Tibetan Lhasa 
Belarus Belarusian Minsk 
Algeria Algerian Algiers 
Lithuania Lithuanian Vilnius 
Slovenia Slovenian Ljubljana 
Israel Israeli Jerusalem 
Sudan Sudanese Khartoum 
Estonia Estonian Tallinn 
Uruguay Uruguayan Montevideo 
Romania Romanian Bucharest 
Spain Spanish Madrid 
Hungary Hungarian Budapest 
Indonesia Indonesian Jakarta 
Slovakia Slovak Bratislava 
India Indian Delhi 
Philippines Filipino Manila 
Jordan Jordanian Amman 
Iraq Iraqi Baghdad 
Syria Syrian Damascus 
Kenya Kenyan Nairobi 
Somalia Somali Mogadishu 
Haiti Haitian Port-au-Prince 
Thailand Thai Bangkok 
Bangladesh Bangladeshi Dhaka 
Lebanon Lebanese Beirut 
Finland Finnish Helsinki 
Azerbaijan Azerbaijani Baku 

