Vietnam Vietnamese Hanoi 
Israel Israeli Jerusalem 
Ireland Irish Dublin 
Bosnia Bosnian Sarajevo 
China Chinese Beijing 
Philippines Filipino Manila 
Denmark Danish Copenhagen 
Scotland Scottish Edinburgh 
Spain Spanish Madrid 
Kenya Kenyan Nairobi 
Sweden Swedish Stockholm 
Venezuela Venezuelan Caracas 
Ukraine Ukrainian Kiev 
Korea Korean Seoul 
Croatia Croatian Zagreb 
Lithuania Lithuanian Vilnius 
Britain British London 
Uruguay Uruguayan Montevideo 
Alaska Alaskan Anchorage 
Taiwan Taiwanese Taipei 
Azerbaijan Azerbaijani Baku 
Canada Canadian Ottawa 
Nepal Nepalese Kathmandu 
Norway Norwegian Oslo 
Romania Romanian Bucharest 
Jordan Jordanian Amman 
Pakistan Pakistani Islamabad 
France French Paris 
Hungary Hungarian Budapest 
Austria Austrian Vienna 
Armenia Armenian Yerevan 
Egypt Egyptian Cairo 
Belgium Belgian Brussels 
Latvia Latvian Riga 
Cuba Cuban Havana 
Mexico Mexican Guadalajara 
Afghanistan Afghan Kabul 
Slovakia Slovak Bratislava 
Germany German Berlin 
India Indian Delhi 
Syria Syrian Damascus 
Haiti Haitian Port-au-Prince 
Libya Libyan Tripoli 
Australia Australian Sydney 
Hawaii Hawaiian Honolulu 
Czechoslovakia Czech Prague 
Tunisia Tunisian Tunis 
Georgia Georgian Tbilisi 
Finland Finnish Helsinki 
Serbia Serbian Belgrade 
Portugal Portuguese Lisbon 
Russia Russian Moscow 
Netherlands Dutch Amsterdam 
Switzerland Swiss Zurich 
Estonia Estonian Tallinn 
Sudan Sudanese Khartoum 
Nigeria Nigerian Lagos 
Poland Polish Warsaw 
Africa African Johannesburg 
Bangladesh Bangladeshi Dhaka 
Algeria Algerian Algiers 
Bulgaria Bulgarian Sofia 
Thailand Thai Bangkok 
Indonesia Indonesian Jakarta 
Slovenia Slovenian Ljubljana 
Lebanon Lebanese Beirut 
Somalia Somali Mogadishu 
Greece Greek Athens 
Wales Welsh Cardiff 
Belarus Belarusian Minsk 
Turkey Turkish Istanbul 
Tibet Tibetan Lhasa 
Iraq Iraqi Baghdad 
Iran Iranian Tehran 
Japan Japanese Tokyo 

