route routes 
challenger challengers 
juvenile juveniles 
badger badgers 
stranger strangers 
site sites 
destination destinations 
salary salaries 
squadron squadrons 
broker brokers 
director directors 
name names 
toxin toxins 
poster posters 
instructor instructors 
Persian Persians 
freshman freshmen 
mouse mice 
classroom classrooms 
commentary commentaries 
squirrel squirrels 
agreement agreements 
lady ladies 
locomotive locomotives 
radical radicals 
gardener gardeners 
criminal criminals 
balloon balloons 
brochure brochures 
journey journeys 
periodical periodicals 
volcano volcanoes 
prototype prototypes 
concept concepts 
gun guns 
mammal mammals 
photographer photographers 
fundraiser fundraisers 
Spanish Spaniards 
sentiment sentiments 
maker makers 
genome genomes 
tomb tombs 
bureaucrat bureaucrats 
newborn newborns 
musician musicians 
meal meals 
bulb bulbs 
mansion mansions 
caller callers 
cat cats 
writer writers 
pamphlet pamphlets 
playground playgrounds 
clause clauses 
collector collectors 
Indonesian Indonesians 
automaker automakers 
engine engines 
Muslim Muslims 
President Presidents 
program programs 
swimmer swimmers 
survivor survivors 
analyst analysts 
revolutionary revolutionaries 
carpenter craftsmen 
organ organs 
consultant consultants 
psychologist psychologists 
MP MPs 
node nodes 
comedian comedians 
beneficiary beneficiaries 
package packages 
recipient recipients 
landlord landlords 
strategist strategists 
label labels 
Syrian Syrians 
conviction convictions 
researcher researchers 
locality localities 
breeder breeders 
seminar seminars 
tattoo tattoos 
group groups 
microbial microbes 
radio radios 
document documents 
publication publications 
pope popes 
railroad railroads 
picture pictures 
vehicle vehicles 
champion champions 
lens lenses 
sidewalk sidewalks 
socialist socialists 
cop cops 
habitat habitats 
band bands 
cinema cinemas 
pet pets 
Australian Australians 
jihadist jihadists 
owl owls 
theatre theatres 
residence residences 
villa villas 
velocity velocities 
element elements 
angel angels 
cord cords 
settler settlers 
institution institutions 
wetland wetlands 
firefighter firefighters 
traveller travellers 
lesion lesions 
secretary secretaries 
blog blogs 
commodity commodities 
pharmaceutical pharmaceuticals 
socket sockets 
Israeli Israelis 
ribbon ribbons 
scanner scanners 
reformer reformers 
city cities 
epidemic epidemics 
goat goats 
album albums 
arrangement arrangements 
marker markers 
portrait portraits 
bus buses 
viewer viewers 
hacker hackers 
realm realms 
tumor tumors 
photon photons 
construction constructions 
career careers 
bacterial bacteria 
coil coils 
filmmaker filmmakers 
userbox userboxes 
mutation mutations 
bike bikes 
grave graves 
vendor vendors 
Cuban Cubans 
ray rays 
thief thieves 
partner partners 
resident residents 
technician technicians 
expedition expeditions 
foe foes 
prophet prophets 
tale tales 
sociologist sociologists 
cook cooks 
nomination nominations 
advocate advocates 
ministry ministries 
magistrate magistrates 
pharmacist pharmacists 
cell cells 
Officer Officers 
gown gowns 
caregiver caregivers 
birthday birthdays 
opera operas 
kid kids 
pilot pilots 
festival festivals 
solution solutions 
dad dads 
shrub shrubs 
component components 
Armenian Armenians 
hole holes 
Marxist Marxists 
aspect aspects 
pic pics 
family families 
murder murders 
launcher launchers 
architect architects 
rodent rodents 
corpse corpses 
Artist Artists 
admin admins 
router routers 
canal canals 
spouse spouses 
fundamentalist fundamentalists 
orchestra orchestras 
gate gates 
Iranian Iranians 
marriage marriages 
crisis crises 
adult adults 
keeper keepers 
strip strips 
therapy therapies 
crane cranes 
statement statements 
colleague colleagues 
volunteer volunteers 
alias aliases 
chair chairs 
tree trees 
Turkish Turks 
memorial memorials 
division divisions 
Tree Trees 
commenter commenters 
Nationalist Nationalists 
atom atoms 
barn barns 
spelling spellings 
summit summits 
employee employees 
bicycle bicycles 
professional professionals 
terrace terraces 
nut nuts 
youngster youngsters 
pharmacy pharmacies 
mutant mutants 
Bulgarian Bulgarians 
bottle bottles 
pest pests 
organism organisms 
politician politicians 
turbine turbines 
Slavic Slavs 
skirt skirts 
inmate inmates 
myth myths 
community communities 
contestant contestants 
boss bosses 
curve curves 
committee committees 
liberal liberals 
dessert desserts 
connection connections 
database databases 
descendant descendants 
army armies 
melody melodies 
chord chords 
moderator moderators 
session sessions 
prisoner prisoners 
initiative initiatives 
bull bulls 
boxer boxers 
programme programmes 
dome domes 
inspector inspectors 
snack snacks 
militant militants 
specimen specimens 
wolf wolves 
distance distances 
cabin cabins 
umpire umpires 
license licenses 
character characters 
warship warships 
patient patients 
ballad ballads 
runway runways 
artifact artifacts 
Producer Producers 
Writer Writers 
nominee nominees 
wedding weddings 
personality personalities 
visitor visitors 
defendant defendants 
charity charities 
citizen citizens 
company companies 
reader readers 
anomaly anomalies 
electrode electrodes 
brother brothers 
tune tunes 
issuer issuers 
exhibition exhibitions 
Governor Governors 
concert concerts 
roof roofs 
operator operators 
theater theaters 
currency currencies 
glacier glaciers 
costume costumes 
kitten kittens 
crab crabs 
adviser advisers 
student students 
cardinal cardinals 
texture textures 
deputy deputies 
landowner landowners 
teen teenagers 
contributor contributors 
archaeologist archaeologists 
printer printers 
evaluation evaluations 
port ports 
legislator legislators 
tragedy tragedies 
subsidiary subsidiaries 
pond ponds 
opinion opinions 
jacket jackets 
lefty lefties 
trait traits 
destroyer destroyers 
award awards 
fort forts 
libertarian libertarians 
airline airlines 
chemist chemists 
surname surnames 
taxi taxis 
mother mothers 
artery arteries 
expert experts 
sketch sketches 
government governments 
spectator spectators 
star stars 
badge badges 
superhero superheroes 
oyster oysters 
audition auditions 
basin basins 
moth moths 
German Germans 
constituency constituencies 
stream streams 
article articles 
coordinator coordinators 
phone phones 
zombie zombies 
medal medals 
milestone milestones 
position positions 
accountant accountants 
microphone microphones 
transistor transistors 
miner miners 
wagon wagons 
economist economists 
cone cones 
belt belts 
soundtrack soundtracks 
gang gangs 
folder folders 
screw screws 
glove gloves 
rapist rapists 
job jobs 
NGO NGOs 
manufacturer manufacturers 
detective detectives 
carcass carcasses 
Brazilian Brazilians 
lawsuit lawsuits 
supermarket supermarkets 
enemy enemies 
Democrat Democrats 
lord lords 
Zionist Zionists 
belief beliefs 
legislature legislatures 
cartoon cartoons 
tablet tablets 
farmer farmers 
assault assaults 
railway railways 
bed beds 
hospital hospitals 
iPhone iPhones 
pistol pistols 
librarian librarians 
newspaper newspapers 
lawn lawns 
motor motors 
torpedo torpedoes 
democrat democrats 
tyre tyres 
market markets 
investor investors 
Mexican Mexicans 
door doors 
shape shapes 
highway highways 
speaker speakers 
framework frameworks 
section sections 
bowler bowlers 
