suspect suspects 
movie movies 
park parks 
parish parishes 
invitation invitations 
conference conferences 
outsider outsiders 
actor actors 
spy spies 
shark sharks 
inhibitor inhibitors 
egg eggs 
chemist chemists 
king kings 
scanner scanners 
tory tories 
branch branches 
squirrel squirrels 
genre genres 
destroyer destroyers 
process processes 
pigeon pigeons 
photo photos 
playground playgrounds 
grant grants 
mechanism mechanisms 
employee employees 
building buildings 
Macedonian Macedonians 
retirement retirees 
revision revisions 
scholar scholars 
secretary secretaries 
chip chips 
primate primates 
chamber chambers 
proponent proponents 
mentor mentors 
plantation plantations 
beverage beverages 
Division Divisions 
cylinder cylinders 
reception receptions 
animal animals 
firm firms 
documentary documentaries 
infant infants 
officer officers 
anecdote anecdotes 
synagogue synagogues 
alcoholic alcoholics 
department departments 
spouse spouses 
award awards 
database databases 
motorist motorists 
carrier carriers 
magazine magazines 
inspector inspectors 
tool tools 
broker brokers 
Website Websites 
rebel rebels 
instructor instructors 
presenter presenters 
ribbon ribbons 
President Presidents 
knight knights 
story stories 
idiot idiots 
climber climbers 
coach coaches 
pest pests 
golfer golfers 
disease diseases 
grouping groupings 
drone drones 
symptom symptoms 
ornament ornaments 
equation equations 
tiger tigers 
library libraries 
kind kinds 
rumour rumours 
paradigm paradigms 
poem poems 
puppy puppies 
manuscript manuscripts 
Communist Communists 
liberal liberals 
wizard wizards 
director directors 
pharmaceutical pharmaceuticals 
regulator regulators 
successor successors 
veteran veterans 
editor editors 
warrior warriors 
institute institutes 
herd herds 
friend friends 
bastard bastards 
facility facilities 
bloke blokes 
gang gangs 
beneficiary beneficiaries 
slave slaves 
team-mate team-mates 
venue venues 
quarterback quarterbacks 
banner banners 
bag bags 
physician physicians 
hat hats 
packet packets 
borrower borrowers 
camera cameras 
career careers 
dwelling dwellings 
educator educators 
Buddhist Buddhists 
rifle rifles 
NGO NGOs 
policeman policemen 
caller callers 
trajectory trajectories 
offender offenders 
controller controllers 
iPad iPads 
tragedy tragedies 
Writer Writers 
warhead warheads 
house houses 
bridge bridges 
portion portions 
sandwich sandwiches 
lamp lamps 
issuer issuers 
casino casinos 
blade blades 
thief thieves 
vessel vessels 
Iraqi Iraqis 
Armenian Armenians 
monastery monasteries 
archaeologist archaeologists 
lorry lorries 
community communities 
Committee Committees 
reformer reformers 
arena arenas 
elephant elephants 
angle angles 
ape apes 
gardener gardeners 
minister ministers 
population populations 
collaborator collaborators 
arrow arrows 
T-shirt T-shirts 
republic republics 
broadcaster broadcasters 
category categories 
counterpart counterparts 
bureaucrat bureaucrats 
Protestant Protestants 
mum mums 
DVD DVDs 
county counties 
ballad ballads 
chick chicks 
referee referees 
box boxes 
pregnancy pregnancies 
witness witnesses 
pilot pilots 
Lawyer Lawyers 
gig gigs 
Scientist Scientists 
square squares 
baby babies 
runway runways 
academic academics 
cave caves 
Worker Workers 
scene scenes 
badger badgers 
fungus fungi 
Iranian Iranians 
jet jets 
Government Governments 
deputy deputies 
Zionist Zionists 
hub hubs 
guy guys 
schedule schedules 
Producer Producers 
detainee detainees 
suburb suburbs 
hack hacks 
analysis analyses 
investor investors 
Computer Computers 
millionaire millionaires 
module modules 
thing things 
clinician clinicians 
goose geese 
mathematician mathematicians 
negotiator negotiators 
assertion assertions 
dessert desserts 
tomb tombs 
base bases 
helicopter helicopters 
agreement agreements 
pic pics 
cafe cafes 
informant informants 
Student Students 
beer beers 
treaty treaties 
dictionary dictionaries 
challenger challengers 
Albanian Albanians 
clip clips 
meme memes 
crab crabs 
chair chairs 
Employee Employees 
programme programmes 
lodge lodges 
mission missions 
detective detectives 
bomb bombs 
follower followers 
herbicide herbicides 
manufacturer manufacturers 
corner corners 
pond ponds 
president presidents 
pill pills 
Norwegian Norwegians 
joke jokes 
Site Sites 
gift gifts 
Serb Serbs 
gate gates 
antenna antennas 
administrator administrators 
dean deans 
street streets 
response responses 
activity activities 
diplomat diplomats 
theme themes 
ambulance ambulances 
mammal mammals 
mural murals 
adolescent adolescents 
diet diets 
elevator elevators 
audience audiences 
pocket pockets 
vegetarian vegetarians 
cop cops 
step steps 
sibling siblings 
garden gardens 
marsh marshes 
dataset datasets 
teacher teachers 
designer designers 
configuration configurations 
clock clocks 
expedition expeditions 
sculpture sculptures 
vampire vampires 
commission commissions 
flight flights 
fisherman fishermen 
MEP MEPs 
bottle bottles 
pension pensions 
belt belts 
volcano volcanoes 
mom moms 
technician technicians 
penguin penguins 
puzzle puzzles 
gun guns 
landowner landowners 
specialist specialists 
tablet tablets 
cord cords 
pipeline pipelines 
attacker attackers 
supporter supporters 
coalition coalitions 
governor governors 
planet planets 
bay bays 
Egyptian Egyptians 
