router routers 
battleship battleships 
contributor contributors 
village villages 
pharmacist pharmacists 
cat cats 
producer producers 
turtle turtles 
African-American African-Americans 
purchaser purchasers 
runner runners 
patient patients 
technician technicians 
manufacturer manufacturers 
operator operators 
generator generators 
garage garages 
trailer trailers 
submarine submarines 
supervisor supervisors 
dealer dealers 
creature creatures 
rabbi rabbis 
person people 
swimmer swimmers 
gadget gadgets 
provider providers 
feminist feminists 
staffer staffers 
shooter shooters 
teenager teenagers 
assassin assassins 
astronomer astronomers 
superhero superheroes 
rat rats 
citizen citizens 
missile missiles 
priest priests 
anthropologist anthropologists 
goose geese 
carpenter craftsmen 
investigator investigators 
monastery monasteries 
minister ministers 
lawyer lawyers 
primate primates 
racer racers 
chef chefs 
pastor pastors 
reader readers 
reef reefs 
programmer programmers 
rapper rappers 
pet pets 
blogger bloggers 
spouse spouses 
villain villains 
vendor vendors 
vampire vampires 
eagle eagles 
scholar scholars 
motorcycle motorcycles 
landlord landlords 
monster monsters 
teacher teachers 
cyclist cyclists 
animal animals 
supporter supporters 
lobbyist lobbyists 
character characters 
lover lovers 
shark sharks 
fort forts 
company companies 
journalist journalists 
plant plants 
slave slaves 
rider riders 
doctor doctors 
explorer explorers 
policeman policemen 
facility facilities 
insurer insurers 
passenger passengers 
vessel vessels 
publisher publishers 
tram trams 
participant participants 
badger badgers 
deity deities 
bag bags 
human humans 
item items 
caregiver caregivers 
rodent rodents 
filmmaker filmmakers 
lesbian lesbians 
monkey monkeys 
ape apes 
therapist therapists 
telescope telescopes 
cow cows 
employer employers 
banker bankers 
visitor visitors 
laser lasers 
mammal mammals 
antenna antennas 
roof roofs 
bowler bowlers 
recorder recorders 
detainee detainees 
castle castles 
bee bees 
drug drugs 
shrub shrubs 
desktop desktops 
financier financiers 
professor professors 
activist activists 
clerk clerks 
contestant contestants 
egg eggs 
puppy puppies 
browser browsers 
cart carts 
PC PCs 
reviewer reviewers 
customer customers 
ISP ISPs 
drone drones 
camera cameras 
lecturer lecturers 
prisoner prisoners 
sensor sensors 
cylinder cylinders 
entrepreneur entrepreneurs 
fighter fighters 
bishop bishops 
educator educators 
warrior warriors 
geologist geologists 
instructor instructors 
processor processors 
critic critics 
librarian librarians 
competitor competitors 
dolphin dolphins 
detector detectors 
veterinarian veterinarians 
bureaucrat bureaucrats 
corporation corporations 
leader leaders 
cleric clerics 
practitioner practitioners 
mouse mice 
toddler toddlers 
coach coaches 
ruler rulers 
reporter reporters 
cellphone cellphones 
chemist chemists 
beetle beetles 
airplane airplanes 
phone phones 
printer printers 
keyboard keyboards 
theologian theologians 
distributor distributors 
victim victims 
unit units 
SUV SUVs 
locomotive locomotives 
solicitor solicitors 
gangster gangsters 
theorist theorists 
defendant defendants 
spider spiders 
tank tanks 
bottle bottles 
warhead warheads 
columnist columnists 
organizer organizers 
cop cops 
hunter hunters 
product products 
bulb bulbs 
boss bosses 
package packages 
notebook notebooks 
legislator legislators 
skier skiers 
bird birds 
consultant consultants 
lion lions 
owner owners 
mother mothers 
philosopher philosophers 
chicken chickens 
platform platforms 
kitten kittens 
tutor tutors 
maker makers 
officer officers 
bomb bombs 
hero heroes 
penguin penguins 
appliance appliances 
breeder breeders 
wolf wolves 
fungal fungi 
broker brokers 
prosecutor prosecutors 
prophet prophets 
computer computers 
chick chicks 
author authors 
classmate classmates 
builder builders 
dentist dentists 
exporter exporters 
organism organisms 
ambulance ambulances 
baby babies 
fox foxes 
pig pigs 
dog dogs 
tree trees 
corpse corpses 
truck trucks 
seller sellers 
snake snakes 
learner learners 
performer performers 
rocket rockets 
Writer Writers 
clinician clinicians 
landowner landowners 
singer singers 
comedian comedians 
wrestler wrestlers 
rabbit rabbits 
owl owls 
city cities 
zombie zombies 
accountant accountants 
listener listeners 
dinosaur dinosaurs 
consumer consumers 
artist artists 
Artist Artists 
whale whales 
traveller travellers 
park parks 
dancer dancers 
smartphone smartphones 
engineer engineers 
reformer reformers 
nurse nurses 
entity entities 
satellite satellites 
lorry lorries 
tractor tractors 
team teams 
tyrant tyrants 
architect architects 
retailer retailers 
monk monks 
commander commanders 
secretary secretaries 
lizard lizards 
compiler compilers 
planner planners 
weapon weapons 
actor actors 
tablet tablets 
servant servants 
port ports 
correspondent correspondents 
strategist strategists 
historian historians 
female females 
jet jets 
perpetrator perpetrators 
pilot pilots 
settler settlers 
coordinator coordinators 
reptile reptiles 
farmer farmers 
scientist scientists 
merchant merchants 
climber climbers 
microphone microphones 
goat goats 
sailor sailors 
mechanism mechanisms 
auditor auditors 
contractor contractors 
gun guns 
mathematician mathematicians 
elephant elephants 
pill pills 
golfer golfers 
hotel hotels 
saint saints 
collector collectors 
composer composers 
device devices 
trader traders 
plane planes 
creator creators 
painter painters 
helicopter helicopters 
designer designers 
player players 
manager managers 
ant ants 
butterfly butterflies 
scanner scanners 
destroyer destroyers 
gardener gardeners 
thief thieves 
worker workers 
tent tents 
athlete athletes 
motorist motorists 
mutant mutants 
firm firms 
murderer murderers 
doll dolls 
transmitter transmitters 
tanker tankers 
user users 
ghost ghosts 
boat boats 
investor investors 
nun nuns 
commentator commentators 
calf calves 
adviser advisers 
shrine shrines 
museum museums 
crocodile crocodiles 
insect insects 
firefighter firefighters 
crab crabs 
dragon dragons 
jacket jackets 
administrator administrators 
man men 
robot robots 
counselor counselors 
child children 
machine machines 
writer writers 
house houses 
frog frogs 
attacker attackers 
homeowner homeowners 
yacht yachts 
statue statues 
inmate inmates 
automobile automobiles 
snail snails 
enthusiast enthusiasts 
carrier carriers 
youngster youngsters 
bike bikes 
analyst analysts 
photographer photographers 
preacher preachers 
captain captains 
woman women 
specialist specialists 
trainer trainers 
songwriter songwriters 
economist economists 
mosquito mosquitoes 
laptop laptops 
linguist linguists 
payer payers 
researcher researchers 
vehicle vehicles 
observer observers 
railroad railroads 
actress actresses 
physicist physicists 
CEO CEOs 
factory factories 
tool tools 
hut huts 
physician physicians 
pigeon pigeons 
photon photons 
entertainer entertainers 
survivor survivors 
beast beasts 
speaker speakers 
turbine turbines 
businessman businessmen 
handset handsets 
method methods 
frigate frigates 
arbitrator arbitrators 
car cars 
demon demons 
predator predators 
protester protesters 
knight knights 
buyer buyers 
reactor reactors 
soldier soldiers 
musician musicians 
disciple disciples 
biologist biologists 
hub hubs 
container containers 
lamp lamps 
station stations 
bomber bombers 
tiger tigers 
toy toys 
poet poets 
campaigner campaigners 
wagon wagons 
politician politicians 
server servers 
broadcaster broadcasters 
crane cranes 
barge barges 
airline airlines 
novelist novelists 
town towns 
hacker hackers 
sociologist sociologists 
developer developers 
admin admins 
engine engines 
thinker thinkers 
editor editors 
clergyman clergy 
diplomat diplomats 
hospital hospitals 
cruiser cruisers 
warship warships 
curator curators 
airport airports 
horse horses 
train trains 
employee employees 
highway highways 
flower flowers 
institution institutions 
psychologist psychologists 
shell shells 
detective detectives 
psychiatrist psychiatrists 
ship ships 
workstation workstations 
environmentalist environmentalists 
student students 
bicycle bicycles 
presenter presenters 
lender lenders 
surgeon surgeons 
skull skulls 
advisor advisors 
bus buses 
duck ducks 
pupil pupils 
camel camels 
offender offenders 
model models 
taxi taxis 
squirrel squirrels 
archaeologist archaeologists 
inventor inventors 
promoter promoters 
fisherman fishermen 
missionary missionaries 
driver drivers 
supplier suppliers 
partner partners 

