villa villas 
crab crabs 
beast beasts 
prosecutor prosecutors 
bus buses 
puppy puppies 
telescope telescopes 
minister ministers 
blogger bloggers 
boxer boxers 
sensor sensors 
SUV SUVs 
author authors 
thief thieves 
mentor mentors 
college colleges 
theorist theorists 
councillor councillors 
bureaucrat bureaucrats 
nurse nurses 
explorer explorers 
program programs 
egg eggs 
friend friends 
animal animals 
daughter daughters 
stranger strangers 
partner partners 
psychiatrist psychiatrists 
missionary missionaries 
owner owners 
guitar guitars 
developer developers 
competitor competitors 
campus campuses 
tanker tankers 
traitor traitors 
shark sharks 
barn barns 
thug thugs 
clinic clinics 
department departments 
skull skulls 
golfer golfers 
composer composers 
ape apes 
firefighter firefighters 
school schools 
organism organisms 
accountant accountants 
tutor tutors 
motorcycle motorcycles 
financier financiers 
crocodile crocodiles 
strategist strategists 
cyclist cyclists 
fighter fighters 
unit units 
bag bags 
climber climbers 
restaurant restaurants 
shell shells 
clergyman clergy 
educator educators 
snail snails 
atom atoms 
candidate candidates 
runner runners 
physicist physicists 
executive executives 
inventor inventors 
group groups 
lecturer lecturers 
eagle eagles 
handgun handguns 
castle castles 
dealer dealers 
grenade grenades 
businessman businessmen 
breeder breeders 
consumer consumers 
neighbor neighbors 
slave slaves 
publisher publishers 
bank banks 
hotel hotels 
anthropologist anthropologists 
badger badgers 
reactor reactors 
bicycle bicycles 
inmate inmates 
appliance appliances 
burger burgers 
protagonist protagonists 
singer singers 
admin admins 
organisation organisations 
retailer retailers 
rocket rockets 
lawmaker lawmakers 
mediator mediators 
employee employees 
village villages 
librarian librarians 
classmate classmates 
geek geeks 
flower flowers 
manager managers 
operator operators 
robot robots 
bulb bulbs 
environmentalist environmentalists 
writer writers 
specimen specimens 
wagon wagons 
swimmer swimmers 
bat bats 
investigator investigators 
therapist therapists 
moderator moderators 
servant servants 
atheist atheists 
tower towers 
clinician clinicians 
vampire vampires 
shareholder shareholders 
device devices 
temple temples 
roof roofs 
MP MPs 
broadcaster broadcasters 
rodent rodents 
peasant peasants 
superhero superheroes 
mosque mosques 
rapist rapists 
structure structures 
cabin cabins 
vessel vessels 
filmmaker filmmakers 
dog dogs 
producer producers 
perpetrator perpetrators 
patron patrons 
garment garments 
tenant tenants 
reptile reptiles 
airline airlines 
woman women 
magistrate magistrates 
disciple disciples 
personality personalities 
vehicle vehicles 
fox foxes 
architect architects 
participant participants 
issuer issuers 
seller sellers 
archaeologist archaeologists 
counselor counselors 
doctor doctors 
man men 
train trains 
hat hats 
priest priests 
distributor distributors 
gangster gangsters 
enthusiast enthusiasts 
church churches 
reader readers 
controller controllers 
university universities 
assistant assistants 
skier skiers 
lover lovers 
director directors 
mosquito mosquitoes 
pet pets 
venue venues 
actor actors 
licensee licensees 
dinosaur dinosaurs 
rapper rappers 
T-shirt T-shirts 
