area areas 
character characters 
composer composers 
council councils 
manuscript manuscripts 
neighborhood neighborhoods 
presenter presenters 
hymn hymns 
it they 
group groups 
artist artists 
physicist physicists 
community communities 
director directors 
airport airports 
route routes 
plane planes 
truck trucks 
musician musicians 
department departments 
battle battles 
camp camps 
soldier soldiers 
cemetery cemeteries 
parish parishes 
highway highways 
organization organizations 
manufacturer manufacturers 
village villages 
mission missions 
him them 
form forms 
zone zones 
device devices 
method methods 
explosion explosions 
port ports 
firefighter firefighters 
service services 
center centers 
poem poems 
temple temples 
man men 
region regions 
nightclub nightclubs 
settlement settlements 
scientist scientists 
player players 
performer performers 
mp mps 
sect sects 
line lines 
government governments 
army armies 
comune comuni 
philosopher philosophers 
hospital hospitals 
lawyer lawyers 
anthropologist anthropologists 
seat seats 
pupil pupils 
engine engines 
student students 
pastor pastors 
place places 
marriage marriages 
driver drivers 
fountain fountains 
company companies 
part parts 
band bands 
lake lakes 
committee committees 
site sites 
farm farms 
town towns 
restaurant restaurants 
university universities 
leader leaders 
river rivers 
cancer cancers 
candidate candidates 
protocol protocols 
actress actresses 
song songs 
type types 
country countries 
chef chefs 
zoo zoos 
dome domes 
denomination denominations 
producer producers 
monastery monasteries 
home homes 
bomb bombs 
campus campuses 
president presidents 
guitarist guitarists 
deity deities 
club clubs 
clan clans 
family families 
actor actors 
cousin cousins 
commander commanders 
island islands 
coach coaches 
psychologist psychologists 
dish dishes 
car cars 
instrument instruments 
way ways 
school schools 
dancer dancers 
road roads 
kind kinds 
chapel chapels 
monument monuments 
editor editors 
writer writers 
historian historians 
thing things 
basilica basilicas 
borough boroughs 
novel novels 
house houses 
class classes 
economist economists 
entrance entrances 
priest priests 
website websites 
edition editions 
governor governors 
city-state city-states 
submarine submarines 
ship ships 
broadcaster broadcasters 
servant servants 
park parks 
mathematician mathematicians 
statue statues 
lineage lineages 
tehsil tehsils 
wife husbands 
painter painters 
tunnel tunnels 
county counties 
dam dams 
person people 
theologian theologians 
structure structures 
unit units 
inmate inmates 
miscarriage miscarriages 
theatre theatres 
son sons 
plantation plantations 
magazine magazines 
weapon weapons 
member members 
superhero superheroes 
hall halls 
project projects 
professor studies 
library libraries 
hotel hotels 
colonel generals 
republic republics 
channel channels 
cdp outstations 
blogger bloggers 
scholar scholars 
ep eps 
location locations 
newspaper newspapers 
prostitute prostitutes 
principality principalities 
forest forests 
designer designers 
descendant descendants 
castle castles 
court courts 
province provinces 
bridge bridges 
architect architects 
baby babies 
computer computers 
journal journals 
valley valleys 
mediawiki wikis 
boat boats 
shelter shelters 
mosque mosques 
city cities 
tribe tribes 
territory territories 
activist activists 
residence residences 
institution institutions 
athlete athletes 
stadium stadiums 
movement movements 
friend friends 
diocese dioceses 
church churches 
mechanism mechanisms 
campaign campaigns 
prince princes 
job jobs 
poet poets 
hub hubs 
palace palaces 
system systems 
inventor inventors 
child children 
bishop bishops 
officer officers 
biologist biologists 
soloist orchestras 
shrine shrines 
story stories 
vocalist vocalists 
maker makers 
disease diseases 
theorist theorists 
book books 
vehicle vehicles 
building buildings 
citizen citizens 
playwright playwrights 
position positions 
train trains 
engineer engineers 
cookbook recipes 
girl girls 
municipality municipalities 
factory factories 
taxon taxa 
movie movies 
organist organists 
district districts 
station stations 
locomotive locomotives 
rapper rappers 
researcher researchers 
woman women 
knight knights 
office offices 
cathedral cathedrals 
museum museums 
application applications 
constituency constituencies 
college colleges 
party parties 
minister ministers 
album albums 
prisoner prisoners 
program programs 
colony colonies 
singer singers 
ruler rulers 
conductor conductors 
teacher teachers 
builder builders 
illness illnesses 
photographer photographers 
railroad railroads 
shop shops 
relationship relationships 
fort forts 
tributary tributaries 
doctor doctors 
author authors 
agency agencies 
navy navies 
myth myths 
commissioner commissioners 
room rooms 
style styles 
collection collections 
wrestler wrestlers 
king nobles 
dictionary dictionaries 
manager managers 
centre centres 
choir choirs 

