amendment amendments 
generator generators 
intruder intruders 
contender contenders 
container containers 
presenter presenters 
outlet outlets 
notion notions 
image images 
song songs 
fleet fleets 
identifier identifiers 
borough boroughs 
crowd crowds 
Writer Writers 
successor successors 
patch patches 
gateway gateways 
dwelling dwellings 
coat coats 
challenge challenges 
blogger bloggers 
inventor inventors 
mill mills 
academy academies 
religion religions 
lawyer lawyers 
skier skiers 
license licenses 
escort escorts 
militant militants 
gardener gardeners 
style styles 
woodland woodlands 
supporter supporters 
seller sellers 
framework frameworks 
admin admins 
juvenile juveniles 
bay bays 
sword swords 
population populations 
municipality municipalities 
spy spies 
lad lads 
knight knights 
translator translators 
hoax hoaxes 
cat cats 
comrade comrades 
gentleman gentlemen 
attacker attackers 
dessert desserts 
nazi nazis 
conference conferences 
handgun handguns 
version versions 
caregiver caregivers 
Leader Leaders 
operative operatives 
conductor conductors 
event events 
artist artists 
pathogen pathogens 
battery batteries 
mansion mansions 
skyscraper skyscrapers 
customer customers 
sequel sequels 
Judge Judges 
demonstration demonstrations 
tanker tankers 
predator predators 
gate gates 
contest contests 
wolf wolves 
commuter commuters 
tributary tributaries 
tent tents 
pathway pathways 
campus campuses 
creator creators 
champion champions 
intersection intersections 
reality realities 
tornado tornadoes 
breeder breeders 
home homes 
revolutionary revolutionaries 
description descriptions 
rapper rappers 
transmitter transmitters 
membrane membranes 
weapon weapons 
wave waves 
visa visas 
adult adults 
district districts 
unit units 
pyramid pyramids 
traitor traitors 
pharmacist pharmacists 
nationality nationalities 
website websites 
organizer organizers 
rodent rodents 
scout scouts 
controller controllers 
lady ladies 
tablet tablets 
jet jets 
neck necks 
incident incidents 
teenager teenagers 
surname surnames 
paper papers 
therapist therapists 
dictator dictators 
issue issues 
valley valleys 
Cuban Cubans 
stakeholder stakeholders 
actress actresses 
Customer Customers 
ruler rulers 
Representative Representatives 
procedure procedures 
fingerprint fingerprints 
sibling siblings 
counterpart counterparts 
factory factories 
geologist geologists 
layer layers 
ceremony ceremonies 
Department Departments 
donor donors 
meadow meadows 
listener listeners 
purchaser purchasers 
moth moths 
pub pubs 
magazine magazines 
star stars 
apprentice apprentices 
building buildings 
moderator moderators 
topic topics 
ghost ghosts 
beast beasts 
crocodile crocodiles 
figure figures 
soldier soldiers 
structure structures 
university universities 
frigate frigates 
militia militias 
institution institutions 
suburb suburbs 
highway highways 
priest priests 
burial burials 
Afghan Afghans 
landowner landowners 
tram trams 
employee employees 
marsh marshes 
libertarian libertarians 
reef reefs 
businessman businessmen 
system systems 
flight flights 
dad dads 
camp camps 
teammate teammates 
bowler bowlers 
monument monuments 
Communist Communists 
adviser advisers 
correspondent correspondents 
farm farms 
investigator investigators 
patient patients 
electrode electrodes 
atheist atheists 
carrier carriers 
prototype prototypes 
lecture lectures 
student students 
warrior warriors 
referee referees 
alumnus alumni 
mall malls 
planner planners 
neighborhood neighborhoods 
sponsor sponsors 
design designs 
landlord landlords 
personality personalities 
widow widows 
ape apes 
widget widgets 
classmate classmates 
quarterback quarterbacks 
employer employers 
human humans 
strip strips 
institute institutes 
vendor vendors 
feminist feminists 
laboratory laboratories 
cafe cafes 
shrub shrubs 
corporation corporations 
nun nuns 
fighter fighters 
predecessor predecessors 
cow cows 
instructor instructors 
bomber bombers 
gallery galleries 
retailer retailers 
puppy puppies 
situation situations 
songwriter songwriters 
logo logos 
method methods 
blog blogs 
homeowner homeowners 
leader leaders 
gangster gangsters 
taxi taxis 
neighbor neighbors 
theologian theologians 
rabbi rabbis 
printer printers 
Editor Editors 
moron morons 
lawn lawns 
theme themes 
userpage userpages 
repository repositories 
bike bikes 
summit summits 
Conservative Conservatives 
medal medals 
gadget gadgets 
lesbian lesbians 
mission missions 
spectator spectators 
button buttons 
textbook textbooks 
lecturer lecturers 
colleague colleagues 
god gods 
footballer footballers 
fundraiser fundraisers 
addict addicts 
lesion lesions 
waterfall waterfalls 
philosopher philosophers 
Islamist Islamists 
Catholic Catholics 
petition petitions 
car cars 
device devices 
graduate graduates 
Marxist Marxists 
station stations 
module modules 
electron electrons 
dictionary dictionaries 
cartoon cartoons 
officer officers 
protester protesters 
band bands 
programmer programmers 
prisoner prisoners 
virus viruses 
blast blasts 
bid bids 
clerk clerks 
vampire vampires 
corner corners 
automobile automobiles 
hawk hawks 
grandmother grandparents 
format formats 
pharmacy pharmacies 
slum slums 
subsidiary subsidiaries 
Author Authors 
desk desks 
office offices 
dancer dancers 
republic republics 
racer racers 
claim claims 
webpage webpages 
dragon dragons 
chief chiefs 
zombie zombies 
medication medications 
narrative narratives 
organization organizations 
orchestra orchestras 
cleric clerics 
millionaire millionaires 
mutation mutations 
auditor auditors 
lawsuit lawsuits 
dentist dentists 
room rooms 
Politician Politicians 
insect insects 
concept concepts 
grave graves 
batsman batsmen 
tomato tomatoes 
detective detectives 
worm worms 
telescope telescopes 
shaft shafts 
bomb bombs 
lab labs 
goat goats 
step steps 
settler settlers 
campaigner campaigners 
connector connectors 
motor motors 
cartridge cartridges 
idol idols 
keyboard keyboards 
bee bees 
legislator legislators 
float floats 
guy guys 
PC PCs 
processor processors 
capitalist capitalists 
civilization civilizations 
monograph monographs 
designer designers 
ridge ridges 
Journalist Journalists 
painter painters 
tool tools 
locality localities 
adolescent adolescents 
school schools 
burger burgers 
constitution constitutions 
excursion excursions 
mammal mammals 
thread threads 
poet poets 
boy boys 
reptile reptiles 
holiday holidays 
prize prizes 
thief thieves 
developer developers 
woman women 
rally rallies 
profession professions 
house houses 
engineer engineers 
comedian comedians 
stadium stadiums 
scanner scanners 
president presidents 
operator operators 
filmmaker filmmakers 
apple apples 
ocean oceans 
cyclone cyclones 
carcass carcasses 
engine engines 
database databases 
department departments 
geek geeks 
typo typos 
translation translations 
template templates 
fascist fascists 
horse horses 
commenter commenters 
party parties 
bite bites 
nation nations 
resident residents 
beneficiary beneficiaries 
sockpuppet sockpuppets 
dialogue dialogues 
lorry lorries 
advertisement advertisements 
turtle turtles 
shoe shoes 
railway railways 
voyage voyages 
chick chicks 
subdivision subdivisions 
approach approaches 
skull skulls 
town towns 
proposal proposals 
mom moms 
handler handlers 
toy toys 
receiver receivers 
attorney attorneys 
constituency constituencies 
destination destinations 
ant ants 
bridge bridges 
newborn newborns 
piece pieces 
broadcaster broadcasters 
stream streams 
pig pigs 
POW POWs 
dissident dissidents 
archaeologist archaeologists 
government governments 
ministry ministries 
staffer staffers 
cruiser cruisers 
pattern patterns 
environment environments 
argument arguments 
demon demons 
analyst analysts 
calf calves 
editor editors 
application applications 
freshman freshmen 
name names 
heir heirs 
identity identities 
plaintiff plaintiffs 
triangle triangles 
dataset datasets 
item items 
turbine turbines 
box boxes 
boss bosses 
saint saints 
forum forums 
portal portals 
missile missiles 
pope popes 
linguist linguists 
insider insiders 
wedding weddings 
clip clips 
photo photos 
villa villas 
roadway roadways 
village villages 
director directors 
observer observers 
master masters 
oyster oysters 
buyer buyers 
organism organisms 
creationist creationists 
vehicle vehicles 
egg eggs 
slave slaves 
app apps 
Canadian Canadians 
picture pictures 
accountant accountants 
concert concerts 
advisor advisors 
battle battles 
coordinator coordinators 
incumbent incumbents 
job jobs 
vessel vessels 
floor floors 
shark sharks 
liberal liberals 
passport passports 
canal canals 
path paths 
