freshman freshmen 
beer beers 
stack stacks 
shell shells 
scandal scandals 
employer employers 
carrier carriers 
insurgent insurgents 
quiz quizzes 
keyboard keyboards 
worker workers 
particle particles 
buddy buddies 
connector connectors 
system systems 
population populations 
sociologist sociologists 
county counties 
ceiling ceilings 
delegation delegations 
spike spikes 
Center Centers 
martyr martyrs 
protagonist protagonists 
ant ants 
technician technicians 
campaigner campaigners 
resort resorts 
Communist Communists 
servant servants 
insurer insurers 
form forms 
Video Videos 
performer performers 
hierarchy hierarchies 
navbox navboxes 
router routers 
pack packs 
thread threads 
table tables 
segment segments 
beast beasts 
semiconductor semiconductors 
composition compositions 
celebrity celebrities 
slum slums 
destroyer destroyers 
competition competitions 
parcel parcels 
legislature legislatures 
paradigm paradigms 
posting postings 
yacht yachts 
bike bikes 
lecture lectures 
creator creators 
observer observers 
homicide homicides 
container containers 
folder folders 
cinema cinemas 
curator curators 
treaty treaties 
trajectory trajectories 
settler settlers 
shaft shafts 
meal meals 
intruder intruders 
alumnus alumni 
calendar calendars 
wrestler wrestlers 
nominee nominees 
rifle rifles 
vineyard vineyards 
fundamentalist fundamentalists 
dam dams 
habitat habitats 
enterprise enterprises 
image images 
man men 
unionist unionists 
cube cubes 
contributor contributors 
cave caves 
squad squads 
board boards 
moderator moderators 
widow widows 
song songs 
steward stewards 
publisher publishers 
simulation simulations 
vaccine vaccines 
website websites 
gadget gadgets 
acquaintance acquaintances 
ecosystem ecosystems 
college colleges 
salad salads 
game games 
scholar scholars 
compiler compilers 
predecessor predecessors 
turtle turtles 
webpage webpages 
program programs 
menu menus 
analysis analyses 
ballot ballots 
financier financiers 
style styles 
bank banks 
Artist Artists 
motorist motorists 
confession confessions 
guard guards 
sibling siblings 
prisoner prisoners 
infobox infoboxes 
cow cows 
receptor receptors 
chick chicks 
apprentice apprentices 
illness illnesses 
bio bios 
militia militias 
observation observations 
theory theories 
bulb bulbs 
socialist socialists 
dancer dancers 
army armies 
counselor counselors 
lodge lodges 
syllable syllables 
header headers 
cook cooks 
correlation correlations 
balloon balloons 
crash crashes 
booth booths 
agent agents 
lineage lineages 
municipality municipalities 
substrate substrates 
skeptic skeptics 
franchise franchises 
ribbon ribbons 
investigation investigations 
pupil pupils 
insect insects 
scene scenes 
X-ray X-rays 
Newspaper Newspapers 
warrior warriors 
leaflet leaflets 
promoter promoters 
tract tracts 
node nodes 
neighbour neighbours 
peasant peasants 
murderer murderers 
assistant assistants 
memorial memorials 
coral corals 
critic critics 
toxin toxins 
hall halls 
explorer explorers 
cake cakes 
tree trees 
therapist therapists 
banana bananas 
diagram diagrams 
infant infants 
pot pots 
envelope envelopes 
park parks 
blogger bloggers 
addict addicts 
lecturer lecturers 
adolescent adolescents 
figure figures 
bowl bowls 
CEO CEOs 
mom moms 
scheme schemes 
conductor conductors 
list lists 
child children 
accusation accusations 
name names 
rider riders 
Character Characters 
pest pests 
sword swords 
taxi taxis 
viewer viewers 
academy academies 
locale locales 
phone phones 
council councils 
editor editors 
fatality fatalities 
peptide peptides 
valley valleys 
parasite parasites 
truck trucks 
coalition coalitions 
egg eggs 
strategy strategies 
drone drones 
Democrat Democrats 
bat bats 
clip clips 
retreat retreats 
gift gifts 
hypocrite hypocrites 
excerpt excerpts 
fort forts 
anthropologist anthropologists 
gunman gunmen 
nightclub nightclubs 
artist artists 
train trains 
sketch sketches 
dean deans 
developer developers 
minister ministers 
emperor emperors 
theorist theorists 
studio studios 
ship ships 
soil soils 
prophet prophets 
boat boats 
assertion assertions 
claw claws 
instrument instruments 
massacre massacres 
firefighter firefighters 
championship championships 
wire wires 
leftist leftists 
ape apes 
railway railways 
striker strikers 
manuscript manuscripts 
this these 
runner runners 
geek geeks 
advisor advisors 
automobile automobiles 
funeral funerals 
network networks 
elevator elevators 
physician physicians 
photo photos 
guy guys 
interpretation interpretations 
shop shops 
monograph monographs 
comedian comedians 
caregiver caregivers 
paper papers 
affiliate affiliates 
newbie newbies 
liberal liberals 
frigate frigates 
battery batteries 
file files 
framework frameworks 
companion companions 
voice voices 
roadway roadways 
dictator dictators 
cat cats 
screenshot screenshots 
prophecy prophecies 
proxy proxies 
believer believers 
terrorist terrorists 
patch patches 
team-mate team-mates 
suite suites 
environmentalist environmentalists 
pile piles 
mountain mountains 
site sites 
advert adverts 
sequence sequences 
residence residences 
scientist scientists 
guardian guardians 
President Presidents 
survivor survivors 
stick sticks 
theater theaters 
masterpiece masterpieces 
station stations 
sensor sensors 
path paths 
hurricane hurricanes 
king kings 
reviewer reviewers 
DYK DYKs 
crocodile crocodiles 
airplane airplanes 
fisherman fishermen 
clause clauses 
GP GPs 
inspection inspections 
leader leaders 
