lecturer lecturers 
river rivers 
sociologist sociologists 
therapist therapists 
dentist dentists 
commentator commentators 
defendant defendants 
physician physicians 
unit units 
skyscraper skyscrapers 
society societies 
nurse nurses 
governor governors 
teacher teachers 
county counties 
mayor mayors 
provider providers 
employer employers 
district districts 
shrine shrines 
footballer footballers 
memorial memorials 
palace palaces 
organization organizations 
transmitter transmitters 
restaurant restaurants 
actress actresses 
lake lakes 
airport airports 
proponent proponents 
fundamentalist fundamentalists 
administrator administrators 
ruler rulers 
waterfall waterfalls 
supporter supporters 
nightclub nightclubs 
songwriter songwriters 
cyclist cyclists 
girlfriend girlfriends 
expert experts 
photographer photographers 
lover lovers 
consultant consultants 
fan fans 
offender offenders 
hacker hackers 
opponent opponents 
pupil pupils 
company companies 
founder founders 
dissident dissidents 
museum museums 
chemist chemists 
researcher researchers 
journalist journalists 
philosopher philosophers 
Tory Tories 
learner learners 
entrepreneur entrepreneurs 
protester protesters 
visitor visitors 
reviewer reviewers 
physicist physicists 
taxpayer taxpayers 
stakeholder stakeholders 
corporation corporations 
manufacturer manufacturers 
town towns 
informant informants 
villain villains 
cadet cadets 
township townships 
investigator investigators 
servant servants 
farm farms 
arena arenas 
warrior warriors 
laptop laptops 
locality localities 
banker bankers 
passenger passengers 
donor donors 
borough boroughs 
pond ponds 
house houses 
cemetery cemeteries 
association associations 
purchaser purchasers 
skull skulls 
practitioner practitioners 
ship ships 
monument monuments 
manager managers 
boxer boxers 
publisher publishers 
broadcaster broadcasters 
worker workers 
highway highways 
railroad railroads 
camp camps 
golfer golfers 
contractor contractors 
hotel hotels 
artifact artifacts 
clinician clinicians 
counselor counselors 
inventor inventors 
tower towers 
institute institutes 
agent agents 
university universities 
portrait portraits 
presenter presenters 
website websites 
contestant contestants 
mentor mentors 
broker brokers 
carcass carcasses 
psychologist psychologists 
mammal mammals 
leftist leftists 
club clubs 
mediator mediators 
subscriber subscribers 
recipient recipients 
skeptic skeptics 
party parties 
foreigner foreigners 
Catholic Catholics 
merchant merchants 
doctor doctors 
department departments 
park parks 
educator educators 
orchestra orchestras 
scientist scientists 
statue statues 
vehicle vehicles 
toddler toddlers 
minister ministers 
dancer dancers 
producer producers 
character characters 
scholar scholars 
lodge lodges 
assistant assistants 
veterinarian veterinarians 
legislator legislators 
airplane airplanes 
lawmaker lawmakers 
casino casinos 
neighbor neighbors 
mansion mansions 
enterprise enterprises 
mill mills 
warehouse warehouses 
geologist geologists 
pharmacy pharmacies 
colleague colleagues 
plaque plaques 
painter painters 
vessel vessels 
designer designers 
gentleman gentlemen 
nationalist nationalists 
plant plants 
retailer retailers 
kingdom kingdoms 
route routes 
fascist fascists 
organism organisms 
aide aides 
consumer consumers 
shareholder shareholders 
railway railways 
bridge bridges 
novelist novelists 
plane planes 
regiment regiments 
critic critics 
librarian librarians 
bowler bowlers 
feminist feminists 
driver drivers 
denomination denominations 
mathematician mathematicians 
owner owners 
businessman businessmen 
tribe tribes 
computer computers 
monastery monasteries 
landowner landowners 
tunnel tunnels 
landlord landlords 
murderer murderers 
store stores 
CEO CEOs 
glacier glaciers 
operator operators 
anarchist anarchists 
financier financiers 
clinic clinics 
editor editors 
citizen citizens 
leader leaders 
coach coaches 
poet poets 
compiler compilers 
school schools 
garden gardens 
vendor vendors 
organizer organizers 
gardener gardeners 
hunter hunters 
lawyer lawyers 
intruder intruders 
parish parishes 
bureaucrat bureaucrats 
deputy deputies 
team teams 
maker makers 
buyer buyers 
councillor councillors 
reformer reformers 
fighter fighters 
processor processors 
player players 
student students 
licensee licensees 
ambassador ambassadors 
chef chefs 
resident residents 
municipality municipalities 
machine machines 
runway runways 
entity entities 
roadway roadways 
strategist strategists 
synagogue synagogues 
peasant peasants 
insurer insurers 
classmate classmates 
classroom classrooms 
developer developers 
magistrate magistrates 
distributor distributors 
kitchen kitchens 
swimmer swimmers 
cricketer cricketers 
collaborator collaborators 
politician politicians 
thief thieves 
cafe cafes 
pharmacist pharmacists 
user users 
vineyard vineyards 
hospital hospitals 
homeowner homeowners 
bank banks 
knight knights 
teenager teenagers 
supervisor supervisors 
author authors 
village villages 
pathway pathways 
patriot patriots 
beneficiary beneficiaries 
engine engines 
