exploit exploiting 
hug hugging 
arise arising 
deliver delivering 
laugh laughing 
abandon abandoning 
enforce enforcing 
owe owed 
sacrifice sacrificing 
export exporting 
initiate initiating 
devote devoted 
omit omitting 
drag dragging 
translate translating 
satisfy satisfying 
determine determining 
reach reaching 
shorten shortening 
select selecting 
try trying 
despise hating 
deprive depriving 
say saying 
adjust adjusting 
adapt adapting 
make making 
urge urging 
generate generating 
catch catching 
inject injecting 
reflect reflecting 
kidnap kidnapping 
admit admitting 
guess guessing 
manipulate manipulating 
sit sitting 
reveal revealing 
dodge dodging 
display displaying 
solve solving 
perform performing 
increase increasing 
rob robbing 
transfer transferring 
assess assessing 
deepen deepening 
smile smiling 
coordinate coordinating 
focus focusing 
photograph photographing 
reopen reopening 
revert reverting 
speculate speculating 
fix fixing 
swim swimming 
react reacting 
prohibit prohibiting 
donate donating 
suggest suggesting 
retire retiring 
publish publishing 
imply implying 
guarantee guaranteeing 
deceive deception 
contend contended 
specify specifying 
distract distracting 
sail sailing 
revise revising 
remember remembering 
put putting 
manage managing 
reword rewording 
skip skipping 
buy buying 
assert asserting 
respond responding 
leverage leveraging 
prefer preferring 
cut cutting 
combine combining 
descend descending 
revive reviving 
forget forgetting 
watch watching 
refuse refusing 
pour pouring 
re-add re-adding 
restrain restraining 
behave behaving 
evade evading 
duplicate duplicating 
post posting 
contribute contributing 
bounce bouncing 
tear tearing 
monitor monitoring 
bolster boosting 
encourage encouraging 
minimize minimizing 
consolidate consolidating 
oppose opposing 
dump dumping 
navigate navigating 
enable enabling 
engage engaging 
enter entering 
launch launching 
proclaim proclaiming 
deteriorate deteriorating 
represent representing 
explain explaining 
originate originating 
simulate simulating 
create creating 
indicate indicating 
replace replacing 
overturn overturning 
express expressing 
implement implementing 
download downloading 
hike hiking 
realize realizing 
take taking 
have having 
spread spreading 
confirm confirming 
derive deriving 
distribute distributing 
sell selling 
copyedit copyediting 
burst bursting 
spark sparking 
curb curbing 
destroy destroying 
predict predicting 
disappear disappearing 
crush crushing 
deploy deploying 
embrace embracing 
roar roaring 
maintain maintaining 
tackle tackling 
slip slipping 
portray portraying 
strive striving 
execute executing 
flip flipping 
resemble resembling 
insist insisting 
nominate nominating 
design designing 
leave leaving 
argue arguing 
emphasize emphasizing 
authorize authorizing 
shut shutting 
rush rushing 
involve involving 
sink sinking 
diminish diminishing 
shoot shooting 
concentrate concentrating 
criticise criticising 
strengthen strengthening 
volunteer volunteering 
pass passing 
teach teaching 
absorb absorbing 
avoid avoiding 
multiply multiplying 
cheat cheating 
evoke evoked 
provide providing 
measure measuring 
hunt hunting 
invest investing 
solicit soliciting 
define defining 
protect protecting 
resist resisting 
drink drinking 
plunge plunging 
illustrate illustrating 
simplify simplifying 
justify justifying 
shape shaping 
formulate formulating 
chase chasing 
rebuild rebuilding 
parse parsing 
suck sucking 
inspire inspiring 
shed shedding 
call calling 
control controlling 
copy copying 
agree agreeing 
rub rubbing 
transmit transmitting 
invade invading 
enroll enrolled 
stick sticking 
equate equating 
want wanting 
impose imposing 
fill filling 
relate relating 
murder murdering 
remove removing 
borrow borrowing 
rip ripping 
bake baking 
escape escaping 
spray spraying 
occupy occupying 
feed feeding 
anticipate anticipating 
summarize summarizing 
administer administering 
drain draining 
undertake undertaking 
commit committing 
appear appearing 
advise advising 
beat beating 
lend lending 
collect collecting 
realise realising 
collaborate collaborating 
look looking 
conceal concealing 
recreate recreating 
soar soaring 
wander wandering 
verify verifying 
share sharing 
pray praying 
influence influencing 
supervise supervising 
integrate integrating 
affect affecting 
drown drowning 
blend blending 
recover recovering 
accomplish accomplishing 
promote promoting 
vomit vomiting 
shrink shrinking 
accumulate accumulating 
flee fleeing 
break breaking 
die dying 
notify notifying 
nurture nurturing 
resign resigning 
demonstrate demonstrating 
embed embedding 
construct constructing 
travel traveling 
unfold unfolding 
claim claiming 
boil boiling 
yell yelling 
rest resting 
comprise constituting 
celebrate celebrating 
modify modifying 
designate designating 
listen listening 
inflict inflicting 
concede conceding 
sustain sustaining 
slam slamming 
assure assuring 
undermine undermining 
join joining 
fly flying 
twist twisting 
relieve relieving 
analyze analyzing 
request requesting 
quit quitting 
relax relaxing 
enlist enlisted 
terminate terminating 
gain gaining 
tweak tweaking 
crack cracking 
ask asking 
ensure ensuring 
seek seeking 
return returning 
bury burying 
allow allowing 
scratch scratching 
spit spitting 
need needing 
enact enacting 
decide deciding 
prescribe prescribing 
compose composing 
retrieve retrieving 
