install installing 
tackle tackling 
analyse analysing 
dodge dodging 
prohibit prohibiting 
identify identifying 
plead pleading 
distract distracting 
swap swapping 
wait waiting 
assess assessing 
authorize authorizing 
execute executing 
distort distorting 
urge urging 
compete competing 
drive driving 
access accessing 
react reacting 
believe believing 
regulate regulating 
construct constructing 
refine refining 
utilize utilizing 
mix mixing 
appoint appointing 
bounce bouncing 
derive deriving 
remind reminding 
complain complaining 
collect collecting 
conceal concealing 
prevent preventing 
justify justifying 
explain explaining 
summarize summarizing 
postpone delaying 
convert converting 
thrive thriving 
punch punching 
broaden broadening 
breathe breathing 
maintain maintaining 
transmit transmitting 
interact interacting 
slap slapping 
consolidate consolidating 
advise advising 
display displaying 
expose exposing 
rip ripping 
pour pouring 
feed feeding 
re-add re-adding 
preserve preserving 
accept accepting 
make making 
impose imposing 
pray praying 
encompass encompassing 
cooperate cooperating 
analyze analyzing 
determine determining 
eat eating 
highlight highlighting 
nurture nurturing 
denounce denouncing 
trim trimming 
proclaim proclaiming 
split splitting 
influence influencing 
operate operating 
keep keeping 
argue arguing 
hit hitting 
generate generating 
refer referring 
implement implementing 
intend intending 
integrate integrating 
eliminate eliminating 
relieve relieving 
undertake undertaking 
ensure ensuring 
represent representing 
hang hanging 
recover recovering 
engage engaging 
specify specifying 
consider considering 
add adding 
reveal revealing 
avoid avoiding 
uncover uncovering 
celebrate celebrating 
shorten shortening 
equate equating 
capture capturing 
imply implying 
marry marrying 
arrange arranging 
recreate recreating 
swim swimming 
resign resigning 
connect connecting 
adjust adjusting 
organise organising 
prescribe prescribing 
pose posing 
join joining 
widen widening 
negotiate negotiating 
expect expecting 
alter altering 
find finding 
squeeze squeezing 
disrupt disrupting 
bring bringing 
flourish flourishing 
receive receiving 
agree agreeing 
turn turning 
appear appearing 
restore restoring 
fail failing 
hurt hurting 
submit submitting 
erase erasing 
endanger endangering 
lock locking 
send sending 
disappear disappearing 
pursue pursuing 
express expressing 
distribute distributing 
induce inducing 
spend spending 
embrace embracing 
rely relying 
crush crushing 
originate originating 
fix fixing 
illustrate illustrating 
get getting 
bite biting 
jump jumping 
abandon abandoning 
intensify intensifying 
catch catching 
inject injecting 
invade invading 
mitigate mitigating 
go going 
suppress suppressing 
evade evading 
flee fleeing 
smash smashing 
invoke invoking 
inform informing 
sue suing 
obtain obtaining 
die dying 
emit emitting 
relax relaxing 
want wanting 
terminate terminating 
suspend suspending 
withdraw withdrawing 
skip skipping 
interpret interpreting 
communicate communicating 
contact contacting 
return returning 
cover covering 
listen listening 
yield yielding 
administer administering 
minimize minimizing 
hide hiding 
duplicate duplicating 
organize organizing 
describe describing 
escalate escalating 
criticize criticizing 
launch launching 
invent inventing 
shave shaving 
sell selling 
rub rubbing 
modify modifying 
recommend recommending 
win winning 
browse browsing 
hire hiring 
restructure restructuring 
blend blending 
absorb absorbing 
weaken weakening 
decide deciding 
speculate speculating 
serve serving 
maximize maximizing 
pay paying 
treat treating 
proceed proceeding 
sustain sustaining 
deprive depriving 
kill killing 
combine combining 
achieve achieving 
write writing 
stop stopping 
perform performing 
conclude concluding 
run running 
retrieve retrieving 
educate educating 
concede conceding 
prepare preparing 
boast boasting 
strive striving 
borrow borrowing 
assure assuring 
instruct instructing 
encourage encouraging 
assign assigning 
approve approving 
transfer transferring 
do doing 
emphasize emphasizing 
cook cooking 
earn earning 
hold holding 
retain retaining 
safeguard safeguarding 
oversee overseeing 
wander wandering 
demonstrate demonstrating 
accumulate accumulating 
consume consuming 
snap snapping 
burn burning 
withhold withholding 
cut cutting 
predict predicting 
revert reverting 
disable disabling 
concentrate concentrating 
reach reaching 
threaten threatening 
omit omitting 
pass passing 
quote quoting 
admire admiring 
settle settling 
prefer preferring 
simulate simulating 
perpetuate perpetuating 
reword rewording 
optimize optimizing 
recognize recognizing 
watch watching 
teach teaching 
call calling 
overlook overlooking 
assume assuming 
visit visiting 
attend attending 
establish establishing 
stimulate stimulating 
calculate calculating 
volunteer volunteering 
tweak tweaking 
defend defending 
coordinate coordinating 
pull pulling 
retire retiring 
speak speaking 
rob robbing 
dominate dominating 
tighten tightening 
fill filling 
explode exploding 
put putting 
choose choosing 
manage managing 
enroll enrolled 
contribute contributing 
offer offering 
develop developing 
condemn condemning 
oppose opposing 
sit sitting 
take taking 
compare comparing 
climb climbing 
replicate replicating 
stabilize stabilizing 
initiate initiating 
spark sparking 
shrink shrinking 
say saying 
attract attracting 
degrade degrading 
forget forgetting 
invite inviting 
dismiss dismissing 
tout touting 
laugh laughing 
scream screaming 
collaborate collaborating 
surrender surrendering 
diminish diminishing 
circumvent bypassing 
refuse refusing 
decrease decreasing 
harass harassing 
provide providing 
examine examining 
arrive arriving 
abolish abolishing 
redirect redirecting 
play playing 
select selecting 
contemplate contemplating 
allocate allocating 
multiply multiplying 
employ employing 
dismantle dismantling 
clarify clarifying 
repeat repeating 
divert diverting 
lose losing 
knock knocking 
deny denying 
recognise recognising 
donate donating 
isolate isolating 
ride riding 
assist assisting 
foster fostering 
relocate relocating 
depict depicting 
swallow swallowing 
solicit soliciting 
allow allowing 
pick picking 
nominate nominating 
reflect reflecting 
