
#---------------------------------------------------------------------
#
# This file contains INCORRECT frames discovered using the Simple corpus
#
# Some frames may in fact be correct but are included here in the interest
# of being conservative.
#
#---------------------------------------------------------------------

the . is 
first 0000 was 

the also which 
all many these 

</s> from into 
is comes turns 

. is was 
and are were 

. was gave 
or be give 

. they their 
' you your 

by made produced 
being making producing 

was his him 
were their them 

he she who 
brother sister younger 

he his father's 
she her grandmother's 

first second fourth 
twenty-first twenty-second fourteenth 

called walled stalled 
caller waller taller 

american british-american polish-american 
american-born british-born polish-born 

them themselves ourselves 
him himself myself 

river rivers river's 
upstream streams stream's 

british irish anglo-irish 
british-american irish-american anglo-american 

water waterways waterhole 
saltwater estuaries swampy 

west east southeast 
westernmost easternmost southernmost 

west east southeast 
westerly easterly southerly 

west westernmost westerly 
north-west northernmost northerly 

east easternmost easterly 
southeast southernmost southerly 

population populations populated 
density densities densely 

party democratic socialist 
parties democracies socialists 

wrote written writing 
co-wrote co-written songwriting 

written britten rewritten 
write rite rewrite 

written writes essays 
writtenby writer essayist 

things objects subjects 
something object subject 

church churches churchill 
chapel chapels chaplain 

white black blue 
whitesnake blackbird bluebird 

father father's fathered 
grandfather grandfather's great-grandson 

california los california's 
florida miami florida's 

worked employed waged 
worker employer wage 

actor animator puppeteer 
actors animators puppets 

northern southern north-eastern 
northerly southerly north-east 

court judge juror 
courtiers judges jurors 

station stations installations 
outstation outstations innovations 

political radical non-violent 
politically radically violently 

appeared appearing appealing 
guest-starred recurring concurring 

computer computers tcp 
compiler compilers gfdl 

hurricane hurricanes hurry 
cyclone cyclones cyclops 

seven twenty-seven thirty-seven 
seventy twenty thirty 

elected re-elected reelected 
elections re-election reelection 

fire firemen fireman 
gunfire gunmen gunman 

writer author orator 
co-writer co-author collaborator 

writer write writers 
typewriter rewrite typewriters 

reached reaching peaking 
preached preaching speaking 

spanish mexican mexican-american 
spaniards mexicans african-americans 

students schools academies 
student schoolmate academie 

business businessmen philanthropy 
businesswoman businessman philanthropist 

mountain valley creek 
mountainous valleys creeks 

lower low low-lying 
slower slow slow-moving 

hot hottest coldest 
billboard sexiest second-oldest 

airport airports aerodrome 
airplane airplanes aeroplane 

federal federation federations 
confederacy confederation confederations 

christian christianity christians 
baptist baptism baptists 

parliament parliaments parliament's 
councillor councils council's 

parliament mp by-election 
parliaments mps elections 

olympic olympics biathlon 
paralympic paralympics para-nordic 

fight fighter fighters 
gunfight firefighter firefighters 

beginning inning henning 
beginnings innings jennings 

described describe describes 
ascribed scribe scribes 

railway railways locomotives 
motorway motorways motors 

democratic republican libertarian 
democracies republicans libertarians 

ireland ireland's zeeland 
scotland scotland's gotland 

eventually subsequently promptly 
eventual subsequent prompted 

author authors author's 
biographer biographies autobiographical 

constitution constituency constitute 
constitutions constituencies constitutes 

companies agencies securities 
company's agency's security 

talk talks confront 
stalk stalks stabs 

artists painters sculptors 
artist's painting sculpture 

scientists scientist scientology 
biologists biologist biology 

scientists scientist scientifically 
physicists physicist theoretically 

scientists scientist scientology 
sociologists sociologist sociology 

scientists scientist scientology 
anthropologists anthropologist anthropology 

scientists scientist scientology 
geologists geologist geology 

scientists scientist scientology 
psychologists psychologist psychology 

scientists scientist scientology 
archaeologists archaeologist archaeology 

duke princess duchess 
dukes princes duchies 

pay paying payment 
buy buying buyer 

actually fact certainly 
actual factual certainty 

appointed appointment appointments 
resigned resign resigns 

piano concerto oboe 
pianos concertos trombones 

physical geophysical metaphysical 
physics biophysics metaphysics 

physical logical logically 
geophysical geological geologically 

egypt egypt's mesopotamian 
pharaoh pharaoh's mycenae 

supported supporting opposing 
imported importing imposing 

elements implements supplements 
elementary complementary supplementary 

room rooms bedroom 
bathroom bathrooms bathtub 

room hotel townhouse 
rooms hotels warehouses 

sexual sexuality masturbation 
homosexual homosexuality abortion 

fast slow quick 
fast-moving slow-moving quicksand 

collection collected collective 
selection selected selective 

critics critic anti-semitic 
diacritics diacritic semitic 

distance constance reluctance 
distantly constantly reluctantly 

scottish anglo-irish trish 
fetish amish vish 

relationship relationships kinship 
partnership partnerships ownership 

objects subjects aspects 
objective subjective perspective 

workers worker co-workers 
laborers labor labors 

allows gallows hollows 
allowance galloway holloway 

maria lucia silvia 
mariano luciano silvio 

poet poetry poets 
novelist novelty novelists 

southeast northeast east-southeast 
south-west north-west east-west 

southeast northeast east-southeast 
south-central north-central east-central 

painting portrait sculptor 
paints portraits sculptors 

painting printing handwriting 
painters printers typewriters 

justice supreme ruling 
justices supremes rulings 

instruments instrument multi-instrumentalist 
keyboards keyboard keyboardist 

fort fortress mattress 
forts fortresses buttresses 

southwest southward southwards 
west-northwest westward westwards 

physics physiology physiologist 
biophysics microbiology microbiologist 

physics topology nanotechnology 
biophysics anthropology biotechnology 

paid unemployed benefited 
payment unemployment benefits 

planned manned scanned 
planners manners scanners 

agreed agreement negotiation 
disagreed disagreement disarmament 

jews nazis soviets 
ashkenazi nazi soviet 

lawyer attorney congressman 
lawyers attorneys congresses 

estimated estimate estimating 
approximately approximate approximation 

hotel apartment homesick 
hotels apartments homes 

flowers flower flowering 
lowers lower lowering 

gun guns cannon 
handgun handguns smoothbore 

philosophy theology sociobiology 
philosopher theologian sociologist 

ends ending inning 
bends bending spinning 

rail rails brakes 
trail trails bikes 

authority authorities jurisdictions 
priority priorities restrictions 

particularly articulated articulation 
regularly regulated regulation 

meters meter ft 
kilometers kilometer km2 

fuel fuels fumes 
biofuel biofuels consumes 

useful helpful stressful 
useless helpless hopeless 

treated prescribed ascribed 
treat prescribe scribe 

mathematics mathematical mathematicians 
geometry geometrical euclid 

walls walled wally 
stalls stalled tally 

finland lapland friesland 
inland upland gippsland 

universities institutions faculties 
universite institut faculty 

strength strengthened strengthening 
weaker weakened weakening 

electrons electron electromagnetic 
neutrons neutron neutrinos 

labour labor anti-slavery 
labourers laborers free-staters 

organisms organelles unicellular 
microorganisms microtubules microbial 

guitarist multi-instrumentalist clarinetist 
guitars instruments clarinets 

standing standish standings 
landing landis landings 

fishing hiking sightseeing 
wishing liking seeing 

personality brutality hostility 
personalities fatalities hostilities 

question questions requesting 
suggestion suggestions suggesting 

question quest quests 
requesting request requests 

governments legislatures congresses 
government's legislation congress's 

selena helena cecilia 
selene helene ophelia 

khan muhammad ali 
khan's muhammad's ali's 

printed reprinted hinted 
print blueprint hint 

printed printer printers 
handwritten typewriter typewriters 

violence violent riots 
nonviolence nonviolent sit-ins 

relatively rely routinely 
relating relying routing 

images photographs graphs 
imagery photography typography 

images depictions illusions 
imagery depiction illusion 

earthquake earthquakes seismic 
magnitude magnitudes amplitude 

sisters cousins widows 
sister-in-law cousin widow 

trump truman trump's 
obama roosevelt obama's 

campus university's universe's 
campuses universities universes 

daughters cousins uncles 
daughter-in-law cousin uncle 

twenty thirty eighty 
twenty-four thirty-four eighty-four 

twenty forty seventy 
twenty-one forty-five seventy-five 

scientist zoologist microbiologist 
scientology zoology microbiology 

scientist paleontologist physiologist 
scientology paleontology physiology 

selection reflection expressionism 
selective reflective expressive 

biology topology phonology 
