

#----------
# sport
#----------

football hockey basketball 
nfl nhl nba 

toronto montreal vancouver 
leafs canadiens canucks 

baltimore houston miami 
orioles astros marlins 



#------------------
# intensity
#------------------

some often difficult 
all always impossible 

never always universally 
rarely usually generally 


#------------------
# adj adv
#------------------

massive progressive successive 
massively progressively successively 


#--------------
# counties
#--------------

derby nottingham northampton bedford gloucester hereford leicester
derbyshire nottinghamshire northamptonshire bedfordshire gloucestershire herefordshire leicestershire



# Others


given give giving 
chosen choose choosing 

given give gives 
applied apply applies 

given gives giving 
chosen chooses choosing 

played competed wrestled 
plays competes wrestles 

british german italian 
britain's germany's italy's 

government parliament congress 
government's parliament's congress's 

announced stated concluded 
announcement statement conclusion 

italian austrian austro-hungarian 
italy austria austria-hungary 

imported exported smuggled 
importing exporting smuggling 

imported transported smuggled 
importing transporting smuggling 

molecules photons bosons 
molecule photon boson 

particles molecules substances 
particle molecule substance 

flying traveling travelling 
flew traveled travelled 

flying travelling sailing 
flew travelled sailed 

slow drop throw 
slows drops throws 

resigned succeeded abdicated 
resign succeed abdicate 

persian turkish arabic 
persians turks arabs 

muslims islam quran 
christians christianity bible 

strong weak healthy 
stronger weaker healthier 

visit explore colonize 
visited explored colonized 

mathematics psychology phonology 
mathematicians psychologists linguists 

wave photon boson 
waves photons bosons 

temperature temperatures hotter 
speed speeds faster 

easy safe healthy 
easier safer healthier 

learn understand communicate 
learning understanding communication 

learn understand solve 
teaches understands solves 

learn develop improve 
learning developing improving 

learn solve identify 
learning solving identifying 

guitar bass guitarist 
guitars basses guitarists 

prince princes principality 
duke dukes duchy 

prince archduke infante 
princess archduchess infanta 

miles millimeters litres 
mile centimeter liter 

destroyed damaged hurt 
destruction damage harm 

destroyed burned knocked 
destroying burning knocking 

material substance solvent 
materials substances solvents 

fought attacked invaded 
fighting attacking invading 

ran stood sat 
running standing sitting 

ran threw blew 
runs throws blows 

moving rotate vibrate 
motion rotation vibration 

eat eaten fed 
consume consumed supplied 

eat digest consume 
eaten digested consumed 

orchestra symphony oratorio 
orchestras symphonies oratorios 

orchestra quartet violinist 
orchestras quartets violinists 

orchestra choir oratorio 
orchestras choirs oratorios 

orchestra oratorio fugue 
orchestras oratorios fugues 

temperature altitude depth 
temperatures altitudes depths 

temperature speed distance 
temperatures speeds distances 

car driving drove 
motorcycle riding rode 

development develop develops 
exploration explore explores 

stop withdraw cancel 
stopped withdrew cancelled 

win score finish 
winning scoring finishing 

know realize worry 
knows realizes worries 

km m kg 
kilometres meters kilograms 

development develop developing 
production produce producing 

added add adding 
combined combine combining 

cancer tumor clot 
cancers tumors clots 

roman greek egyptian 
rome greece egypt 

worked travelled sailed 
working travelling sailing 

killed destroyed burned 
killing destroying burning 

killed hurt injured 
killing hurting injuring 

thought felt hated 
thinks feels hates 

put removed closed 
puts removes closes 

formed joined signed 
forming joining signing 

received awarded receive 
gave given give 

thought thinking thinks 
felt feeling feels 

use add convert 
using adding converting 

use require involve 
uses requires involves 

use allow let 
using allowing letting 

use refer involve 
uses refers involves 

won win winning 
scored score scoring 

won win winning 
qualified qualify qualifying 

french prussian austro-hungarian 
france prussia austria-hungary 

won win wins 
voted vote votes 

won win winning 
achieved achieve achieving 

won earned achieved 
winning earning achieving 

won lost gained 
winning losing gaining

left returned travelled 
leaving returning travelling 

left arrived travelled 
leaving arriving travelling 

president presidential presidency 
governor gubernatorial governorship 

president justice judge 
presidents justices judges 

said say saying 
felt feel feeling 

played play playing 
danced dance dancing 

played performed conducted 
playing performing conducting 

played performed conducted 
play perform conduct 

played sang danced 
playing singing dancing 

world japan china 
world's japan's china's 

world country china 
world's country's china's 

world uk britain 
world's uk's britain's 

she selena lennon 
her selena's lennon's 

made making makes 
broken breaking breaks 

made added placed 
making adding placing 

made turned thrown 
making turning throwing 

made done happened 
making doing happening 

more much amount 
faster fast speed 

people someone anyone 
things something anything 

written mentioned explained 
writes mentions explains 

given gave giving 
awarded received receiving 

lap touchdown shutout 
laps touchdowns shutouts 

planet galaxy comet 
planets galaxies comets 

physics biology microbiology 
bohr crick pasteur 

astronomers astronomer herschel 
physicists physicist bohr 

won lost defeated 
winning losing defeating 

used applied demonstrated 
use apply demonstrate 

used added converted 
uses adds converts 

president presidency presidents 
governor governorship governors 

you somebody heshe 
your someone's hisher 

what things thing 
how ways way 

left joined signed 
leaving joining signing 

province municipality comune 
provinces municipalities comuni 

any anyone anywhere 
always everyone everywhere 


moved moving moves 
traveled travelling travels 

take send gather 
taken sent gathered 

story stories writers 
poem poems poets 

joined joining withdrew 
signed signing expired 

africa african africans 
korea korean koreans 

performed concert concerts 
exhibited exhibition exhibitions 

reached gained obtained 
reaching gaining obtaining 

car drivers driving 
bicycle cyclists riding 

helped tried attempted 
helping trying attempting 

think know believe 
thinking knowing believing 

think thinking thinks 
feel feeling feels 

my your one's 
myself yourself oneself 

reason purpose context 
reasons purposes contexts 

ship ships sailors 
boat boats fishermen 

travel visit arrive 
travelled visited arrived 

learn realize forget 
learned realized forgot 

break push breathe 
breaks pushes breathes 

pulled pushed blown 
pulling pushing blowing 

pulled chased stabbed 
pulls chases stabs 

throw knock sneak 
throws knocks sneaks 

asteroid comet meteor 
asteroids comets meteors 

sank washed drowned 
sink wash drown 

say think believe 
saying thinking believing 

program project redevelopment 
programs projects developments 

car driver drivers 
motorcycle cyclist cyclists 

think feel worry 
thinks feels worries 

told knew cared 
telling knowing caring 

discovered discovery discoveries 
invented invention inventions 

board committee agency 
boards committees agencies 

singing sang singers 
dancing danced dancers 

lies lie lying 
sits sit sitting 

occur occurs occurred 
undergo undergoes undergone 

shark sharks basking 
whale whales baleen 

invasion siege bombing 
invaded besieged bombed 

hindu buddhist jain 
hinduism buddhism jainism 

hindu buddhist jain 
hindus buddhists jains 

murdered raped abused 
murdering raping abusing 

travelled toured exhibited 
trips tours exhibitions 

dialect accent consonant 
dialects accents consonants 

tomb shrine basilica 
tombs shrines basilicas 

observations hypotheses theorems 
astronomers physicists mathematicians 


received gained achieved 
receiving gaining achieving 

car driving drove 
bicycle riding rode 

my your our 
myself yourself ourselves 

emperor ruler caliph 
emperors rulers caliphs 

density altitude depth 
densities altitudes depths 

bush reagan obama 
bush's reagan's obama's 



arrived sailed sank 
arrival voyage sinking 

invasion conquest revolt 
invaded conquered revolted 

nucleus photon detector 
nuclei photons detectors 


vladimir boris mikhail 
putin yeltsin gorbachev 

threw chased stabbed 
throws chases stabs 

verb syllable consonant 
verbs syllables consonants 


particles photons wavelengths 
particle photon wavelength 


learn understand interpret 
learnt understood interpreted 


need want agree 
needed wanted agreed 

hard fast loud 
harder faster louder 

throw thrown threw 
blow blown blew 

skating gymnastics weightlifting 
skater gymnast weightlifter 




lights lighter lightly 
tights tighter tightly 

thrown throwing throws 
blown blowing blows 

intended tended pretended 
intends tends pretends 

stored processed accessed 
storing processing accessing 

stored restored repaired 
storing restoring repairing 

consider considers considerations 
recommend recommends recommendations 

neighborhood neighborhoods neighbor 
neighbourhood neighbourhoods neighbour 

determine identify examine 
determination identification examination 

chloride chlorine hydrochloric 
fluoride fluorine hydrofluoric 

documents comments tweets 
documented commented tweeted 

civilization civilizations industrialization 
civilisation civilisations industrialisation 

colored colorful coloration 
coloured colourful colouration 


expansion expands expansions 
extension extends extensions 



keeping keeps keeper 
sleeping sleeps sleeper 



occasionally additionally exceptionally 
occasions additions exceptions 

progressive progressively progresses 
successive successively successes 

purchased purchase purchasing 
leased lease leasing 

accurate reliable liable 
accuracy reliability liability 




eliminated eliminate eliminating 
dominated dominate dominating 

buddhism hinduism jainism 
buddhists hindus jains 

watching catching pitching 
watches catches pitches 

watching watched watches 
hatching hatched hatches 

rebuilt repaired reconstructed 
rebuilding repairing reconstruction 

sending tending lending 
sender tender lender 

spending staying arriving 
spends stays arrives 

hypothesis hypotheses hypothetical 
synthesis syntheses synthetic 

astronomers astronomer observatories 
physicists physicist laboratories 

consisted consistent consistency 
persisted persistent persistence 

lighter brighter hotter 
lightest brightest hottest 

liberation cooperation negotiation 
liberated cooperated negotiated 



realized generalized capitalized 
realization generalization capitalization 

counted mounted amounted 
counts mounts amounts 

emotional emotions emotion 
sensational sensations sensation 

photographer photographic photographers 
geographer geographic geographers 

photographer printmaker engraver 
photography printmaking engraving 

cameron murphy griffiths 
cameron's murphy's griffith's 

baptist preacher clergyman 
baptists preachers clergy 

arrives flees stabs 
arriving fleeing stabbing 

sicily malta corsica 
sicilian maltese corsican 

hormones ketones carbocations 
hormone ketone carbocation 

emotions perceptions receptions 
emotion perception reception 

autobiography autobiographical autobiographies 
biography biographical biographies 

claws toes ankles 
claw toe ankle 

generator accelerator neutrino 
generators accelerators neutrinos 

philanthropist entrepreneur lobbyist financier
philanthropy entrepreneurship lobbying financing 

worcester hereford hertford northampton berwick leicester nottingham buckingham
worcestershire herefordshire hertfordshire northamptonshire berwickshire leicestershire nottinghamshire buckinghamshire



slavs ukrainians hungarians 
slavonic ukrainian hungarian 

