
# nouns using wiki-news fastTExt vectors

tehsil tehsils
Zionist Zionists 
champ champs 
Marxist Marxists 
traitor traitors 
firefighter firefighters 
purchaser purchasers 
merchant merchants 
inmate inmates 
heretic heretics 
landowner landowners 
compatriot compatriots 
nutter nutters 
journalist journalists 
farmer farmers 
songwriter songwriters 
addict addicts 
puppet puppets 
performer performers 
vertebrate vertebrates 
librarian librarians 
administrator administrators 
gambler gamblers 
surfer surfers 
guru gurus 
zombie zombies 
team-mate team-mates 
nurse nurses 
salesperson salespeople 
prince princes 
gentleman gentlemen 
supervisor supervisors 
starter starters 
buyer buyers 
Plaintiff Plaintiffs 
pimp pimps 
stylist stylists 
specialty specialties 
beaver beavers 
aristocrat aristocrats 
widow widows 
environmentalist environmentalists 
interviewer interviewers 
gardener gardeners 
collaborator collaborators 
jockey jockeys 
propagandist propagandists 
demon demons 
expatriate expatriates 
foreigner foreigners 
architect architects 
learner learners 
helper helpers 
pitcher pitchers 
tiger tigers 
commentator commentators 
wikipedian wikipedians 
boyfriend boyfriends 
exec execs 
examiner examiners 
girlfriend girlfriends 
motorcyclist motorcyclists 
sponsor sponsors 
geologist geologists 
pastor pastors 
bottle bottles 
drummer drummers 
woman women 
brewer brewers 
housewife housewives 
oligarch oligarchs 
developer developers 
ISP ISPs 
fox foxes 
secularist secularists 
prosecutor prosecutors 
climber climbers 
president presidents 
sergeant sergeants 
conservator conservators 
detective detectives 
searcher searchers 
archivist archivists 
counsellor counsellors 
presenter presenters 
magnate magnates 
charlatan charlatans 
preacher preachers 
coach coaches 
rep reps 
hypocrite hypocrites 
criminal criminals 
destroyer destroyers 
expert experts 
descendant descendants 
Photographer Photographers 
technician technicians 
winner winners 
chieftain chieftains 
bugger buggers 
stooge stooges 
evaluator evaluators 
philosopher philosophers 
baker bakers 
rabbit rabbits 
Manager Managers 
psychic psychics 
producer producers 
sprinter sprinters 
shopper shoppers 
settler settlers 
rat rats 
user users 
cleric clerics 
serviceman servicemen 
lawyer lawyers 
Contributor Contributors 
nun nuns 
attendee attendees 
activist activists 
bride brides 
anarchist anarchists 
man men 
economist economists 
psychologist psychologists 
mayor mayors 
delegate delegates 
co-chair co-chairs 
adult adults 
retiree retirees 
outsider outsiders 
planter planters 
politician politicians 
judge judges 
typewriter typewriters 
Artist Artists 
fool fools 
marketer marketers 
commander commanders 
webmaster webmasters 
dragon dragons 
computer computers 
midfielder midfielders 
subcontractor subcontractors 
bunny bunnies 
client clients 
bicycle bicycles 
boxer boxers 
cellphone cellphones 
Officer Officers 
inhabitant inhabitants 
member members 
tractor tractors 
trustee trustees 
kayak kayaks 
physician physicians 
Actor Actors 
Defendant Defendants 
dessert desserts 
accuser accusers 
priest priests 
kitten kittens 
horse horses 
companion companions 
MEP MEPs 
comrade comrades 
pollster pollsters 
iPod iPods 
Adviser Advisers 
waitress waitresses 
steamer steamers 
strategist strategists 
corporation corporations 
contractor contractors 
referee referees 
choreographer choreographers 
surgeon surgeons 
spouse spouses 
martyr martyrs 
werewolf werewolves 
reporter reporters 
toad toads 
pathologist pathologists 
banker bankers 
humanist humanists 
tycoon tycoons 
network networks 
commenter commenters 
linguist linguists 
apostle apostles 
actress actresses 
filmmaker filmmakers 
Producer Producers 
instrument instruments 
imam imams 
geographer geographers 
lady ladies 
owl owls 
jar jars 
whore whores 
grower growers 
spinner spinners 
reformist reformists 
falcon falcons 
salesman salesmen 
ecologist ecologists 
shill shills 
combatant combatants 
Jew Jews 
tray trays 
princess princesses 
prostitute prostitutes 
accountant accountants 
organizer organizers 
laptop laptops 
lieutenant lieutenants 
chair chairs 
Governor Governors 
candidate candidates 
installer installers 
wife wives 
pediatrician pediatricians 
traveler travelers 
gangster gangsters 
fraudster fraudsters 
Writer Writers 
product products 
loser losers 
extremist extremists 
responder responders 
investigator investigators 
drinker drinkers 
watchdog watchdogs 
reader readers 
fireman firemen 
spaceship spaceships 
battleship battleships 
respondent respondents 
maker makers 
playwright playwrights 
designer designers 
warden wardens 
provider providers 
commissioner commissioners 
opponent opponents 
abuser abusers 
heroine heroines 
creditor creditors 
Gypsy Gypsies 
teacher teachers 
truck trucks 
chef chefs 
rider riders 
courtier courtiers 
artisan artisans 
racer racers 
singer singers 
choral choirs 
appointee appointees 
