


certain certainly
additional aditionally
medical medically 
robust robustly 
tentative tentatively 
clumsy clumsily 
desperate desperately 
habitual habitually 
misleading misleadingly 
abrupt abruptly 
fraudulent fraudulently 
reasonable reasonably 
traditional traditionally 
mistaken mistakenly 
optical optically 
ecological ecologically 
earnest earnestly 
retroactive retroactively 
exquisite exquisitely 
impressive impressively 
weird weirdly 
tireless tirelessly 
theological theologically 
numerical numerically 
wilful wilfully 
genuine genuinely 
new newly 
systemic systemically 
consecutive consecutively 
unreasonable unreasonably 
merry merrily 
rude rudely 
irregular irregularly 
scientific scientifically 
excessive excessively 
competent competently 
shameless shamelessly 
joyful joyfully 
racial racially 
global globally 
comical comically 
ostensible ostensibly 
acute acutely 
strategic strategically 
unquestionable unquestionably 
indiscriminate indiscriminately 
casual casually 
improper improperly 
subjective subjectively 
undeniable undeniably 
decisive decisively 
wonderful wonderfully 
unfair unfairly 
gracious graciously 
irrevocable irrevocably 
effective effectively 
neutral neutrally 
proactive proactively 
mathematical mathematically 
widespread widely 
favorable favorably 
instantaneous instantaneously 
sensible sensibly 
inadvertent inadvertently 
verbal verbally 
impeccable impeccably 
convincing convincingly 
careful carefully 
amicable amicably 
conclusive conclusively 
tacit tacitly 
unwitting unwittingly 
sufficient sufficiently 
emphatic emphatically 
truthful truthfully 
commercial commercially 
simultaneous simultaneously 
lazy lazily 
demonstrable demonstrably 
prudent prudently 
competitive competitively 
artificial artificially 
outrageous outrageously 
unanimous unanimously 
vague vaguely 
knee-jerk reflexively 
gentle gently 
decent decently 
symbolic symbolically 
lavish lavishly 
regional regionally 
forcible forcibly 
bright brightly 
subtle subtly 
sparse sparsely 
alleged allegedly 
quick quickly 
random randomly 
sustainable sustainably 
explicit explicitly 
economical economically 
wrongful wrongfully 
aesthetic aesthetically 
electronic electronically 
frequent frequently 
mechanical mechanically 
sharp sharply 
predictable predictably 
chronological chronologically 
abundant abundantly 
legal legally 
fatal fatally 
deliberate deliberately 
arbitrary arbitrarily 
gratuitous gratuitously 
reckless recklessly 
blatant blatantly 
incremental incrementally 
psychological psychologically 
urgent urgently 
hypothetical hypothetically 
international internationally 
graphical graphically 
specific specifically 
partial partially 
unusual unusually 
conscious consciously 
seamless seamlessly 
preemptive preemptively 
humane humanely 
smooth smoothly 
methodical methodically 
unbiased objectively 
furious furiously 
hopeless hopelessly 
authentic authentically 
sequential sequentially 
vicious viciously 
legitimate legitimately 
endless endlessly 
glorious gloriously 
humble humbly 
steep steeply 
optimal optimally 
spiritual spiritually 
confident confidently 
sincere sincerely 
thorough thoroughly 
inappropriate inappropriately 
bitter bitterly 
authoritative authoritatively 
subconscious subconsciously 
mere merely 
stubborn stubbornly 
impartial impartially 
merciless mercilessly 
enthusiastic enthusiastically 
visual visually 
calm calmly 
dynamic dynamically 
tight tightly 
continuous continuously 
pre-emptive pre-emptively 
provisional provisionally 
phonetic phonetically 
arrogant arrogantly 
definitive definitively 
proper properly 
defiant defiantly 
private privately 
judicious judiciously 
direct directly 
physical physically 
cooperative cooperatively 
powerful powerfully 
belated belatedly 
semantic semantically 
intimate intimately 
perennial perennially 
tactical tactically 
customary customarily 
secure securely 
central centrally 
graceful gracefully 
separate separately 
moral morally 
operational operationally 
digital digitally 
effortless effortlessly 
irresponsible irresponsibly 
intermittent intermittently 
playful playfully 
stark starkly 
similar similarly 
common commonly 
hilarious hilariously 
instinctive instinctively 
rich richly 
forceful forcefully 
respectful respectfully 
grammatical grammatically 
logical logically 
innocent innocently 
experimental experimentally 
rigid rigidly 
swift swiftly 
linear linearly 
crude crudely 
dishonest dishonestly 
statistical statistically 
positive positively 
organic organically 
fresh freshly 
convenient conveniently 
perverse perversely 
intentional intentionally 
regular regularly 
lawful lawfully 
consistent consistently 
productive productively 
shocking shockingly 
exceptional exceptionally 
unofficial unofficially 
plausible plausibly 
efficient efficiently 
painstaking painstakingly 
happy happily 
passive passively 
elegant elegantly 
unambiguous unambiguously 
technological technologically 
computational computationally 
passionate passionately 
deft deftly 
momentary momentarily 
seeming seemingly 
systematic systematically 
indirect indirectly 
violent violently 
profitable profitably 
haphazard haphazardly 
domestic domestically 
pathetic pathetically 
annoying annoyingly 
diligent diligently 
successful successfully 
subsequent subsequently 
universal universally 
perpetual perpetually 
vigorous vigorously 
stylistic stylistically 
solemn solemnly 
unilateral unilaterally 
instant instantly 
classical classically 
incorrect incorrectly 
linguistic linguistically 
reputed reputedly 
internal internally 
rigorous rigorously 
previous previously 
interactive interactively 
substantive substantively 
sweet sweetly 
needless needlessly 
biological biologically 
delicious deliciously 
confidential confidentially 
chronic chronically 
intrinsic intrinsically 
easy easily 
discreet discreetly 
faithful faithfully 
official officially 
incessant incessantly 
repeated repeatedly 
polite politely 
regrettable regrettably 
valid validly 
peaceful peacefully 
sudden suddenly 
helpless helplessly 
rightful rightfully 
modest modestly 
collaborative collaboratively 
appropriate appropriately 
meticulous meticulously 
irreversible irreversibly 
ironic ironically 
persistent persistently 
meek meekly 
ethnic ethnically 
ideological ideologically 
ample amply 
awkward awkwardly 
scrupulous scrupulously 
Complete Completely 
continual continually 
inconsistent inconsistently 
dense densely 
nominal nominally 
inexorable inexorably 
perfect perfectly 
naive naively 
intensive intensively 
eternal eternally 
solid solidly 
mindless mindlessly 
heavy heavily 
heroic heroically 
uneven unevenly 
special specially 
