



self-employed self-employment 
familiar familiarity 
anti-semitic anti-semitism 
affluent affluence 
weary weariness 
manic mania 
exuberant exuberance 
subtle subtlety 
illiterate illiteracy 
calm calmness 
non-violent non-violence 
versatile versatility 
hysterical hysteria 
polarized polarization 
lenient leniency 
erudite erudition 
thirsty thirst 
prosperous prosperity 
blind blindness 
virtuous virtue 
disoriented disorientation 
bigoted bigotry 
standardised standardisation 
damaged damage 
excited excitement 
racist racism 
broad breadth 
socialist socialism 
soft softness 
differentiated differentiation 
anachronistic anachronism 
compliant compliance 
majestic majesty 
defiant defiance 
personalized personalization 
persistent persistence 
non-compliant non-compliance 
unique uniqueness 
zealous zeal 
secluded seclusion 
reticent reticence 
hypocritical hypocrisy 
specialised specialisation 
lazy laziness 
ethnically ethnicity 
orthodox orthodoxy 
empathetic empathy 
gloomy gloom 
cocky bravado 
sensitive sensitivity 
insulting insult 
slow slowness 
celebratory celebration 
vague vagueness 
susceptible susceptibility 
disrespectful disrespect 
powerless powerlessness 
irritated irritation 
slanderous slander 
durable durability 
sensual sensuality 
ambivalent ambivalence 
tumultuous turmoil 
abandoned abandonment 
deformed deformity 
diligent diligence 
trustworthy trustworthiness 
squalid squalor 
superstitious superstition 
anti-American anti-Americanism 
angry anger 
integrated integration 
harassing harassment 
selfless self-sacrifice 
elastic elasticity 
intoxicated intoxication 
vulgar vulgarity 
cowardly cowardice 
truthful truthfulness 
plausible plausibility 
tailored tailoring 
withdrawn withdrawal 
unjust injustice 
turbulent turbulence 
fluent fluency 
safe safety 
bilingual bilingualism 
helpless helplessness 
uncertain uncertainty 
conscious consciousness 
patriotic patriotism 
inaccurate inaccuracy 
multicultural multiculturalism 
myopic myopia 
tempting temptation 
specialized specialization 
friendly friendliness 
accessible accessibility 
successful success 
constrained constraint 
antagonistic antagonism 
decadent decadence 
indifferent indifference 
comfortable comfort 
nostalgic nostalgia 
totalitarian totalitarianism 
playful playfulness 
atheistic atheism 
nightmarish nightmare 
dogmatic dogma 
expedient expediency 
authoritarian authoritarianism 
starving starvation 
consistent consistency 
important importance 
condescending condescension 
indignant indignation 
dysfunctional dysfunction 
heartbreaking heartbreak 
passionate passion 
ambiguous ambiguity 
efficacious efficacy 
reliable reliability 
negligent negligence 
brutal brutality 
blasphemous blasphemy 
selfish selfishness 
depleted depletion 
compatible compatibility 
imperialistic imperialism 
pluralistic pluralism 
impatient impatience 
psychotic psychosis 
vibrant vitality 
harmed harm 
elitist elitism 
privileged privilege 
injured injury 
formal formality 
sacred sanctity 
anguished anguish 
high-quality quality 
fulfilling fulfillment 
concerned concern 
deluded delusion 
indecisive indecision 
exasperated exasperation 
sane sanity 
nihilistic nihilism 
deviant deviance 
resentful resentment 
rigid rigidity 
dispersed dispersal 
stealthy stealth 
complacent complacency 
exploitative exploitation 
hyperactive hyperactivity 
irresponsible irresponsibility 
reckless recklessness 
dangerous danger 
layered layering 
communist communism 
awkward awkwardness 
innovative innovation 
self-governing self-government 
stable stability 
rude rudeness 
able ability 
dehydrated dehydration 
ferocious ferocity 
emancipated emancipation 
sober sobriety 
trained training 
homogeneous homogeneity 
intransigent intransigence 
humanistic humanism 
stratified stratification 
eccentric eccentricity 
inexperienced inexperience 
reflective reflection 
sharp sharpness 
predictable predictability 
elegant elegance 
desolate desolation 
bankrupt bankruptcy 
chaste chastity 
irritable irritability 
self-reliant self-reliance 
treasonous treason 
literate literacy 
divergent divergence 
hateful hatred 
blissful bliss 
feminist feminism 
incompetent incompetence 
crazy craziness 
uncivil incivility 
fanatical fanaticism 
positive positivity 
thuggish thuggery 
co-ordinated co-ordination 
adoring adoration 
dignified dignity 
vitriolic vitriol 
competitive competitiveness 
inspired inspiration 
vigorous vigor 
subjective subjectivity 
modular modularity 
frenzied frenzy 
miserable misery 
bored boredom 
unreliable unreliability 
dishonest dishonesty 
gentle gentleness 
viable viability 
nuanced nuance 
stubborn stubbornness 
sincere sincerity 
incoherent incoherence 
fervent fervor 
divisive divisiveness 
idiotic idiocy 
compassionate compassion 
fundamentalist fundamentalism 
obligated obligation 
insistent insistence 
sexist sexism 
sceptical scepticism 
polite politeness 
optimized optimization 
confident confidence 
sloppy sloppiness 
capable capability 
depraved depravity 
sympathetic sympathy 
exaggerated exaggeration 
self-sufficient self-sufficiency 
