

botany botanist botanists 
astronomy astronomer astronomers 
songwriting songwriter songwriters 
eating eater eaters 
philosophy philosopher philosophers 
entertainment entertainer entertainers 
beer brewer brewers 
surgery surgeon surgeons 
communication communicator communicators 
printing printer printers 
scholarship scholar scholars 
journalism journalist journalists 
biology biologist biologists 
styling stylist stylists 
thinking thinker thinkers 
entrepreneurship entrepreneur entrepreneurs 
leadership leader leaders 
publishing publisher publishers 
lobbying lobbyist lobbyists 
forecasting forecaster forecasters 
tutoring tutor tutors 
bowling bowler bowlers 
film-making film-maker film-makers 
activism activist activists 
idealism idealist idealists 
ranching rancher ranchers 
spamming spammer spammers 
preaching preacher preachers 
organising organiser organisers 
breeding breeder breeders 
ownership owner owners 
geography geographer geographers 
physics physicist physicists 
nursing nurse nurses 
church pastor pastors 
genetics geneticist geneticists 
environmentalism environmentalist environmentalists 
poetry poet poets 
criticism critic critics 
distribution distributor distributors 
collaboration collaborator collaborators 
mathematics mathematician mathematicians 
strategy strategist strategists 
photography photographer photographers 
surfing surfer surfers 
dancing dancer dancers 
clinical clinician clinicians 
baking baker bakers 
masonry mason masons 
geology geologist geologists 
research researcher researchers 
testing tester testers 
cricket cricketer cricketers 
medicine physician physicians 
drumming drummer drummers 
theology theologian theologians 
apprenticeship apprentice apprentices 
investment investor investors 
golf golfer golfers 
pathology pathologist pathologists 
mountaineering mountaineer mountaineers 
hunting hunter hunters 
linguistics linguist linguists 
guitar guitarist guitarists 
fiction novelist novelists 
drinking drinker drinkers 
history historian historians 
astrology astrologer astrologers 
archaeology archaeologist archaeologists 
farming farmer farmers 
swimming swimmer swimmers 
auditing auditor auditors 
wrestling wrestler wrestlers 
aviation aviator aviators 
negotiation negotiator negotiators 
psychiatry psychiatrist psychiatrists 
financing financier financiers 
lending lender lenders 
filmmaking filmmaker filmmakers 
rowing rower rowers 
economics economist economists 
ideology ideologue ideologues 
accounting accountant accountants 
dentistry dentist dentists 
arbitration arbitrator arbitrators 
choreography choreographer choreographers 
ministry minister ministers 
counselling counsellor counsellors 
climbing climber climbers 
art artist artists 
singing singer singers 
mentoring mentor mentors 
