

infante infanta
nephews nieces 
fraternities sororities 
brothers sisters 
god goddess 
stepson stepdaughter 
dad mom 
sons daughters 
gods goddesses 
Uncle Aunt 
men women 
man woman 
Sons Daughters 
alumni alumnae 
lad lass 
emperor empress 
Brothers Sisters 
HE SHE 
fathers mothers 
fatherhood motherhood 
he she 
schoolboy schoolgirl 
Father Mother 
Matt Stephanie 
mens womens 
boy girl 
fraternity sorority 
priest nun 
boys girls 
Man Woman 
princes princesses 
king queen 
priests nuns 
father mother 
Boy Girl 
brother-in-law sister-in-law 
gentleman lady 
His Her 
Grandfather Grandmother 
brotherhood sisterhood 
Mr Ms 
Dad Mom 
brother sister 
Mr. Ms. 
half-brother half-sister 
father-in-law mother-in-law 
penis vagina 
male female 
Grandpa Grandma 
grandpa grandma 
Monsieur Madame 
dads moms 
son daughter 
gentlemen ladies 
businessman businesswoman 
Men Women 
manhood womanhood 
grandson granddaughter 
HIS HER 
Boys Girls 
Papa Mama 
himself herself 
Son Daughter 
masculinity femininity 
He She 
masculine feminine 
Brother Sister 
schoolboys schoolgirls 
daddy mommy 
uncle aunt 
nephew niece 
hes shes 
paternal maternal 
grandfather grandmother 
Daddy Mommy 
uncles aunts 
males females 


movie actor actress 
comedy comedian comedienne 

actor businessman kbe 
actress businesswoman dbe 

duke archduke infante 
duchess archduchess infanta 


