
 pipe pipes
 lumen lumens
 chamber chambers
 tube tubes
 cylinder cylinders
 conduit conduits
 passageway passageways
 passage passages

 brush brushes
 utensil utensils
 basket baskets
 toothbrush toothbrushes
 pan pans

 truncation truncations
 intron introns
 substitution substitutions
 nucleobase nucleobases
 terminus termini
 subsequence subsequences
 nucleotide nucleotides
 hairpin hairpins
 cdr cdrs
 nucleoside nucleosides
 exon exons
 transcript transcripts
 mismatch mismatches
 codon codons
 overhang overhangs
 splice splices
 untranslated utrs
 motif motifs
 orf orfs
 est ests

 vaccine vaccines
 virion virions
 toxin toxins
 nanobody nanobodies
 antiserum antisera
 vlp vlps
 antibody antibodies
 antigen antigens
 lipase lipases
 retrovirus retroviruses
 topoisomerase topoisomerases
 flavivirus flaviviruses
 subunit subunits
 homolog homologs
 igg1 isotypes
 strain strains
 protein proteins
 virus viruses
 glycoprotein glycoproteins
 cellulase cellulases
 immunoglobulin immunoglobulins
 chimera chimeras
 serotype serotypes
 immunogen immunogens
 alpha-amylase alpha-amylases
 mab mabs
 heterodimer heterodimers
 genus genera
 mutein muteins
 determinant determinants
 riboswitch riboswitches
 epitope epitopes
 synthase synthases
 replicon replicons
 homologue homologues
 scfv scfvs
 adenovirus adenoviruses
 hybridoma hybridomas

 tunnel tunnels
 clot clots
 perforation perforations
 incision incisions
 void voids
 cut cuts

 database databases
 source sources
 storage storages
 directory directories
 repository repositories
 collection collections
 record records
 subsystem subsystems

 riser risers
 crane cranes
 rig rigs
 deck decks
 ship ships
 truck trucks
 pond ponds
 tower towers
 bed beds
 streamer streamers
 boat boats
 vessel vessels

 vesicle vesicles
 micelle micelles
 microcapsule microcapsules

 checkbox checkboxes
 hint hints
 watermark watermarks
 fig figs
 shot shots
 paragraph paragraphs
 schema schemas
 phoneme phonemes
 dictionary dictionaries
 explanation explanations
 bookmark bookmarks
 glyph glyphs
 lesson courses
 verb verbs
 snapshot snapshots
 e-book e-books
 shortcut shortcuts
 tweet tweets
 filename filenames
 sentence sentences
 cue cues
 clue clues
 questionnaire questionnaires
 impression impressions
 cookie cookies
 proposition propositions
 utterance utterances
 descriptor descriptors
 i-frame i-frames
 designation designations
 declaration declarations
 thumbnail thumbnails
 bitmap bitmaps
 folder folders
 conversation conversations
 snippet snippets
 drawing figures
 statement statements
 photograph photographs
 chapter chapters
 script scripts
 plugin plug-ins
 argument arguments
 template templates
 playlist playlists
 timestamp timestamps
 stamp stamps
 sign signs
 picture pictures
 text texts
 assertion assertions
 exam exams
 vowel vowels

 plasmid plasmids
 primer primers
 sequence sequences
 probe probes
 gene genes
 mrna mrnas
 sirna sirnas
 shrna shrnas
 cdna cdnas
 construct constructs
 domain domains
 library libraries
 dsrna dsrnas
 amplicon amplicons
 fragment fragments
 polypeptide polypeptides
 recombinase recombinases
 rna rnas
 endonuclease endonucleases
 vector vectors
 desaturase desaturases
 ribozyme ribozymes
 variant variants
 transgene transgenes
 promoter promoters
 oligo oligos
 oligonucleotide oligonucleotides
 mutant mutants
 polynucleotide polynucleotides

 cross-section cross-sections
 hemisphere hemispheres
 trapezoid trapezoids
 facet facets
 tangent tangents
 horizontal vertical
 cube cubes
 ellipsoid ellipsoids
 nodule nodules
 helix helices
 flank flanks
 spiral spirals
 root roots
 curvature curvatures
 bend bends
 sphere spheres
 perpendicular parallel
 crest crests
 cone cones
 inclination inclinations
 elevation elevations
 apex apexes
 spheroid spheroids

 regimen regimens
 nsaid nsaids
 corticosteroid corticosteroids
 antagonist antagonists
 inhibitor inhibitors
 vasodilator vasodilators
 medicament medicaments
 medication medications
 therapy therapies
 intervention interventions
 prescription prescriptions
 antibiotic antibiotics
 agonist agonists
 drug drugs

 droplet droplets

 waveform waveforms
 wave waves
 signal signals
 pulse pulses
 harmonic harmonics
 frequency frequencies

 canister canisters
 spout spouts
 dispenser dispensers
 funnel funnels
 hose hoses
 outlet outlets
 cup cups
 basin basins
 reservoir reservoirs
 tank tanks
 vent vents
 inlet inlets
 port ports
 entrance entrances
 sink sinks
 scoop scoops
 nipple nipples
 flowing flows
 orifice orifices
 manifold manifolds

 change changes

 locus loci
 allele alleles
 haplotype haplotypes
 polymorphism polymorphisms
 chromosome chromosomes
 genome genomes
 phenotype phenotypes
 population populations
 mutation mutations
 marker markers

 chuck chucks
 jig jigs
 workpiece workpieces
 platen platens
 substrate substrates



 drive drives
 controller controllers

 container containers
 bag bags
 pouch pouches


 pathogen pathogens
 microorganism microorganisms
 fungus fungi
 bacterium bacteria
 animal animals
 bird birds
 insect insects
 cow cows
 parasite parasites
 plant plants
 egg eggs
 pig pigs
 organism organisms
 mammal mammals
 pest pests

 sta stas
 bts btss
 rrh rrhs
 tracker trackers
 ied ieds
 onu onus
 co-processor co-processors
 slave slaves
 flowmeter flowmeters
 femtocell femtocells
 beacon beacons
 repeater repeaters
 interferer interferers
 enb enbs
 transponder transponders
 sub-system sub-systems
 nic nics
 henb henbs
 instance instances
 hydrophone hydrophones
 substation substations
 neighbor neighbors
 fap faps
 nodeb nodebs
 pilot pilots
 rsn rsns


 technology technologies
 concept concepts
 approach approaches
 process processes
 workflow workflows
 technique techniques
 scheme schemes
 model models
 architecture architectures
 scenario scenarios
 topology topologies
 standard standards
 policy policies
 protocol protocols
 rule rules
 criterion criteria
 strategy strategies
 context contexts
 function functions
 procedure procedures
 method methods
 algorithm algorithms

 pulley pulleys
 roller rollers
 belt belts

 fee fees
 purchase purchases
 account accounts

 amide amides
 alcohol alcohols
 aldehyde aldehydes
 sugar sugars
 formula formulas
 amine amines
 acid acids
 olefin olefins
 ester esters
 derivative derivatives
 nucleophile nucleophiles
 hydrocarbon hydrocarbons

 smartphone smartphones
 magnetometer magnetometers
 gauge gauges
 loudspeaker loudspeakers
 terminal terminals
 workstation workstations
 modem modems
 kiosk kiosks
 transceiver transceivers
 recorder recorders
 pen pens
 projector projectors
 scanner scanners
 camera cameras
 codec codecs
 speaker speakers
 microphone microphones
 receiver receivers
 accelerometer accelerometers
 reader readers
 handset handsets
 phone phones
 stb stbs
 battery batteries
 earphone earphones
 transmitter transmitters
 charger chargers
 meter meters


 inequality inequalities
 hypothesis hypotheses
 cohort cohorts
 isotherm isotherms
 prototype prototypes
 two-tailed t-tests
 p-value p-values

 guidewire guidewires
 cannula cannulas
 catheter catheters
 stent stents
 drill drills
 implant implants
 instrument instruments
 manipulation manipulations
 prosthesis prostheses
 surgery surgeries
 endoscope endoscopes
 tool tools

 oligosaccharide oligosaccharides
 chelate complexes
 reporter reporters
 saccharide saccharides
 dimer dimers
 reagent reagents
 donor donors
 dendrimer dendrimers
 chemistry chemistries
 analogue analogues
 conjugate conjugates
 radionuclide radionuclides
 flavonoid flavonoids
 conformation conformations
 molecule molecules
 ligand ligands
 monosaccharide monosaccharides
 fluorophore fluorophores
 metabolite metabolites
 carotenoid carotenoids
 peptide peptides
 biosensor biosensors
 glycosaminoglycan glycosaminoglycans
 mediator mediators
 biomolecule biomolecules
 prodrug prodrugs
 acceptor acceptors
 phospholipid phospholipids
 polysaccharide polysaccharides
 chromophore chromophores
 analyte analytes
 stain stains
 enzyme enzymes
 biopolymer biopolymers
 multimer multimers
 aptamer aptamers
 lipid lipids

 notification notifications
 call calls
 message messages
 email emails
 response responses
 request requests

 modulation modulations

 chip chips
 tsv tsvs
 wiring wirings
 bus buses
 interconnect interconnects
 link links
 communication communications
 connection connections
 pcb pcbs
 conductor conductors
 interconnection interconnections
 coupling couplings
 ic ics


 gift gifts
 card cards
 coupon coupons
 promotion promotions
 prize prizes
 offer offers
 wallet wallets
 discount discounts
 ticket tickets
 deal deals
 voucher vouchers
 reward rewards
 badge badges


 checksum checksums
 credential credentials
 fingerprint fingerprints
 signature signatures
 code codes
 authentication authentications
 identity identities
 password passwords
 certificate certificates
 uid identifications

 cultivar varieties


 quantity quantities
 concentration concentrations
 titer titers
 dosage dosages
 dose doses
 dilution dilutions
 volume volumes

 determination determinations
 correction corrections
 measurement measurements
 observation observations
 examination examinations
 evaluation evaluations
 calculation calculations
 investigation investigations
 conversion conversions
 diagnosis diagnoses
 acquisition acquisitions
 assessment assessments
 calibration calibrations
 analysis analyses
 comparison comparisons
 detection detections
 computation computations

 currency currencies
 banknote banknotes
 coin coins
 denomination denominations

 hammer hammers
 follower followers
 latch latches
 knife knives
 pusher pushers
 lancet lancets
 piston pistons
 needle needles
 slider sliders
 solenoid solenoids
 punch punches
 contactor contactors
 slide slides
 electromagnet electromagnets
 stopper stoppers
 pawl pawls
 guide guides
 plunger plungers
 cam cams
 lance lances

 target targets

 mark marks
 barcode barcodes
 tag tags
 marking markings

 pdu pdus
 address addresses
 payload payloads
 packet packets

 browser browsers
 widget widgets
 website websites
 page pages
 portal portals
 hyperlink hyperlinks
 webpage webpages
 listing listings
 url urls
 app apps

 diet diets
 beverage beverages
 food foods
 cosmetic cosmetics
 medicine medicines

 effector effectors
 position positions
 robot robots
 manipulator manipulators
 knob knobs
 gripper grippers
 grip grips
 arm arms
 mechanism mechanisms
 handle handles
 jaw jaws

 atomizer atomizers
 aerosol aerosols
 nebulizer nebulizers
 sprayer sprayers
 inhaler inhalers
 jet jets

 slat slats
 stanchion stanchions
 post posts
 anchor anchors
 suture sutures
 wire wires
 stub stubs
 tie ties
 pile piles
 cleat cleats
 fuse fuses
 chord chords
 hanger hangers
 cable cables
 runner runners
 cord cords
 grommet grommets
 buckle buckles
 rivet rivets
 clip clips
 winding windings
 harness harnesses
 pole poles
 stud studs
 brace braces
 bar bars
 busbar busbars
 rope ropes
 piece pieces
 hook hooks
 stiffener stiffeners
 stringer stringers
 cross-member cross-members
 spoke spokes
 eyelet eyelets
 leg legs
 strap straps
 bobbin bobbins
 strut struts
 tether tethers
 supporter supporters
 pad pads
 joist joists
 stake stakes

 advertiser advertisers

 matrix matrices
 equation equations
 eigenvalue eigenvalues
 codebook codebooks
 codeword codewords
 eigenvector eigenvectors
 antenna antennas
 transformation transformations
 lut luts

 curve curves


 trend trends
 plot plots
 histogram histograms
 graph graphs

 distortion distortions
 aberration aberrations

 screenshot screenshots
 description descriptions
 gui guis
 display displays
 map maps
 screen screens
 representation representations
 game games
 presentation presentations
 ui uis
 window windows
 gesture gestures
 scene scenes

 printer printers
 hdd hdds
 ecu ecus
 job jobs
 mfp mfps

 path paths

 balloon balloons
 chair chairs
 mattress mattresses
 packer packers
 airbag airbags
 cushion cushions
 seat seats
 cuff cuffs

 predictor predictors
 heuristic heuristics
 price prices
 payout payouts
 classification classifications
 disparity disparities
 rank ranks
 bid bids
 winner winners
 rating ratings
 grade grades
 classifier classifiers
 vote votes
 award awards
 scale scales
 dataset datasets
 index indices
 metric metrics
 ranking rankings
 wager wagers

 test tests
 trial trials
 simulation simulations
 experiment experiments

 charge charges
 drum drums
 photoreceptor photoreceptors

 countermeasure countermeasures
 collision collisions
 inefficiency inefficiencies
 ambiguity ambiguities
 leak leaks
 occurrence occurrences
 blockage blockages
 obstruction obstructions
 bug bugs
 danger risks
 failure failures
 fault faults
 shortcoming drawbacks
 abnormality abnormalities
 threat threats
 interruption interruptions
 challenge challenges
 issue issues
 breach breaches
 injury injuries
 arrhythmia arrhythmias
 misalignment misalignments
 complication complications
 discrepancy discrepancies
 inconsistency inconsistencies
 anomaly anomalies
 problem problems
 hazard hazards
